,Team 1,Team 1 Score,Team 2,Team 2 Score
0,Wabash,0,Ball St.,3
1,Wabash,0,Ball St.,3
2,Thomas More,0,Ball St.,3
3,Wabash,1,Thomas More,3
4,North Greenville,0,Ohio St.,3
5,Fort Valley St.,0,Pepperdine,3
6,Loyola Chicago,0,Hawaii,3
7,NJIT,1,UC Santa Barbara,3
8,Central St. (OH),0,Penn St.,3
9,Grand Canyon,3,CSUN,0
10,Fort Valley St.,0,UCLA,3
11,George Mason,1,UC San Diego,3
12,Morehouse,0,UCLA,3
13,Fort Valley St.,0,Southern California,3
14,Grand Canyon,3,UC San Diego,0
15,Thomas More,0,Purdue Fort Wayne,3
16,Lewis,3,Central St. (OH),0
17,George Mason,2,UC Santa Barbara,3
18,Morehouse,0,Pepperdine,3
19,Ball St.,0,BYU,3
20,NJIT,1,CSUN,3
21,Loyola Chicago,3,Hawaii,2
22,Morehouse,0,Southern California,3
23,George Mason,3,CSUN,1
24,North Greenville,0,Purdue Fort Wayne,3
25,Lewis,2,Penn St.,3
26,NJIT,2,UC San Diego,3
27,Ball St.,0,BYU,3
28,Grand Canyon,3,UC Santa Barbara,1
29,Daemen,1,Ohio St.,3
30,Loyola Chicago,0,Stanford,3
31,Princeton,3,Queens (NC),0
32,Saint Francis (PA),1,Ohio St.,3
33,Loyola Chicago,2,Stanford,3
34,George Mason,3,UC Irvine,2
35,Thomas More,0,Lincoln Memorial,3
36,Princeton,3,Queens (NC),1
37,Erskine,3,Tusculum,0
38,Stevens,3,Sacred Heart,1
39,Saint Francis (PA),0,UC Irvine,3
40,LIU,0,CUI,3
41,Emmanuel (GA),0,Hawaii,3
42,Regis (MA),2,American Int'l,3
43,Kentucky St.,0,Thomas More,3
44,UC San Diego,0,Ball St.,3
45,Lees-McRae,0,Penn St.,3
46,BYU,3,Loyola Chicago,2
47,Harvard,1,Southern California,3
48,UCLA,3,Lewis,1
49,Belmont Abbey,3,FDU,2
50,Barton,1,FDU,3
51,King (TN),0,NJIT,3
52,St. Thomas Aquinas,0,Belmont Abbey,3
53,Queens (NC),0,Charleston (WV),3
54,Lees-McRae,2,Saint Vincent,3
55,Tusculum,1,Ball St.,3
56,Purdue Fort Wayne,3,Sacred Heart,1
57,Edward Waters,3,Erskine,2
58,Lindenwood,1,Grand Canyon,3
59,Dominican (IL),0,Quincy,3
60,Harvard,1,CSUN,3
61,Stanford,3,UC Santa Barbara,2
62,LIU,0,Long Beach St.,3
63,Springfield,0,CUI,3
64,Fort Valley St.,,Talladega,
65,Emmanuel (GA),0,Hawaii,3
66,BYU,2,Lewis,3
67,Barton,3,St. Thomas Aquinas,0
68,Belmont Abbey,3,Sacred Heart,0
69,Kentucky St.,0,Maryville (MO),3
70,St. Thomas Aquinas,0,FDU,3
71,Roanoke,0,Mount Olive,3
72,Barton,3,Sacred Heart,2
73,King (TN),0,Penn St.,3
74,Mount Olive,3,Randolph-Macon,0
75,Tusculum,0,Ball St.,3
76,UC San Diego,2,Ohio St.,3
77,Purdue Fort Wayne,2,NJIT,3
78,LIU,1,Pepperdine,3
79,Stanford,3,UC Santa Barbara,1
80,UCLA,3,Loyola Chicago,0
81,Princeton,1,UC Irvine,3
82,Saint Francis (PA),1,Long Beach St.,3
83,Lincoln Memorial,1,Southern California,3
84,Daemen,,Roberts Wesleyan,
85,Lees-McRae,0,Charleston (WV),3
86,Lindenwood,0,Grand Canyon,3
87,Dominican (IL),0,Missouri S&T,3
88,Lincoln Memorial,0,Pepperdine,3
89,Central St. (OH),0,Thomas More,3
90,Trine,0,Ball St.,3
91,Princeton,3,UC San Diego,0
92,Cal Lutheran,0,CSUN,3
93,Quincy,3,Central St. (OH),0
94,Lees-McRae,1,Queens (NC),3
95,FDU,3,Roberts Wesleyan,0
96,Long Beach St.,3,Merrimack,0
97,McKendree,0,UC Irvine,3
98,Dominican (NY),,Daemen,
99,Harvard,,D'Youville,
100,LIU,3,St. Thomas Aquinas,0
101,Mount Olive,0,Queens (NC),3
102,FDU,3,Roberts Wesleyan,0
103,Tusculum,3,King (TN),2
104,Maryville (MO),3,IIT,0
105,Harvard,,Daemen,
106,Long Beach St.,3,George Mason,1
107,Ball St.,1,Southern California,3
108,Ohio St.,3,UCLA,2
109,Lees-McRae,2,Roanoke,3
110,Quincy,3,Thomas More,0
111,Benedict,0,Erskine,3
112,American Int'l,0,D'Youville,3
113,Emmanuel (GA),0,Charleston (WV),3
114,Maryville (MO),0,Purdue Fort Wayne,3
115,Lindenwood,0,NJIT,3
116,Penn St.,0,Stanford,3
117,Kentucky St.,0,Loyola Chicago,3
118,Merrimack,0,Lewis,3
119,Princeton,3,CSUN,2
120,McKendree,1,Pepperdine,3
121,BYU,3,UC Santa Barbara,1
122,Grand Canyon,3,UC San Diego,0
123,Southern Va.,3,Lees-McRae,0
124,American Int'l,0,Daemen,3
125,Dominican (NY),0,Saint Francis (PA),3
126,Truett-McConnell,1,Fort Valley St.,3
127,North Greenville,2,Lincoln Memorial,3
128,Wittenberg,0,Lees-McRae,3
129,Southern California,2,Ohio St.,3
130,Central St. (OH),1,Dominican (NY),3
131,Truett-McConnell,3,Morehouse,0
132,Stanford,3,Ball St.,1
133,Erskine,0,Queens (NC),3
134,Central St. (OH),0,Saint Francis (PA),3
135,Edward Waters,0,Charleston (WV),3
136,McKendree,0,Pepperdine,3
137,George Mason,3,Sacred Heart,0
138,Lindenwood,3,LIU,0
139,Long Beach St.,3,NJIT,1
140,UCLA,3,Penn St.,0
141,Merrimack,0,Loyola Chicago,3
142,Kentucky St.,0,Lewis,3
143,BYU,3,UC Santa Barbara,0
144,Princeton,0,BYU,3
145,North Greenville,3,Tusculum,1
146,Mt. St. Joseph,0,Thomas More,3
147,Princeton,0,BYU,3
148,Queens (NC),3,Belmont Abbey,1
149,Tusculum,0,Erskine,3
150,Roberts Wesleyan,0,D'Youville,3
151,CSUN,3,Southern California,2
152,Central St. (OH),0,CUI,3
153,Penn St.,3,Ohio St.,1
154,Warner,0,Daemen,3
155,Hawaii,3,Purdue Fort Wayne,1
156,Lindenwood,1,Maryville (MO),3
157,UC Santa Barbara,3,UCLA,2
158,Central St. (OH),0,Southern California,3
159,Missouri S&T,2,Morningside,3
160,Houghton,0,Roberts Wesleyan,3
161,Mount Olive,3,East. Mennonite,1
162,Missouri S&T,3,Viterbo,0
163,Redeemer Ancas. (CAN),3,Roberts Wesleyan,2
164,Emmanuel (GA),0,Lincoln Memorial,3
165,Erskine,3,Benedict,0
166,Mount Olive,3,Va. Wesleyan,1
167,St. Thomas Aquinas,0,FDU,3
168,D'Youville,3,Dominican (NY),0
169,NJIT,3,Saint Francis (PA),2
170,American Int'l,0,Merrimack,3
171,Hawaii,3,Purdue Fort Wayne,0
172,Harvard,3,Sacred Heart,2
173,LIU,0,Loyola Chicago,3
174,George Mason,0,Lewis,3
175,King (TN),0,McKendree,3
176,Menlo,3,UC Santa Cruz,2
177,UC Irvine,3,BYU,1
178,UCLA,3,UC San Diego,0
179,Pepperdine,0,Long Beach St.,3
180,St. Andrews,0,Mount Olive,3
181,East. Mennonite,0,Barton,3
