Team 1,Team 1 Score,Team 2,Team 2 Score,Date
Lincoln Memorial,0,Pepperdine,3,01-04-2023
Southern California,1,UC Santa Barbara,3,01-05-2023
Central St. (OH),0,Ohio St.,3,01-05-2023
UCLA,3,CSUN,0,01-05-2023
Lincoln Memorial,2,UC San Diego,3,01-05-2023
Belmont Abbey,3,Eastern Nazarene,0,01-06-2023
Eastern Nazarene,0,FDU,3,01-06-2023
UC Irvine,3,Lewis,1,01-06-2023
UC San Diego,0,UCLA,3,01-06-2023
St. Francis Brooklyn,3,Belmont Abbey,0,01-06-2023
King (TN),0,Purdue Fort Wayne,3,01-06-2023
Tusculum,0,Erskine,3,01-06-2023
Central St. (OH),1,Penn St.,3,01-06-2023
Lindenwood,1,Grand Canyon,3,01-06-2023
Lincoln Memorial,3,UC Santa Barbara,2,01-06-2023
McKendree,0,BYU,3,01-06-2023
Saint Francis (PA),1,Stanford,3,01-06-2023
Southern California,3,CSUN,0,01-06-2023
FDU,3,Belmont Abbey,1,01-07-2023
St. Francis Brooklyn,3,Eastern Nazarene,0,01-07-2023
Tusculum,1,Emmanuel (GA),3,01-07-2023
American Int'l,0,Eastern Nazarene,3,01-07-2023
Penn St.,3,Ohio St.,1,01-07-2023
American Int'l,0,St. Francis Brooklyn,3,01-07-2023
McKendree,0,UC Irvine,3,01-07-2023
Lincoln Memorial,0,CSUN,3,01-07-2023
NJIT,3,Purdue Fort Wayne,0,01-07-2023
Saint Francis (PA),2,Stanford,3,01-07-2023
Southern California,3,UC San Diego,2,01-07-2023
Lewis,1,BYU,3,01-07-2023
UCLA,3,UC Santa Barbara,0,01-07-2023
Lindenwood,0,Grand Canyon,3,01-08-2023
Missouri S&T,0,Loyola Chicago,3,01-09-2023
Princeton,3,D'Youville,0,01-09-2023
Princeton,1,Daemen,3,01-10-2023
LIU,3,Belmont Abbey,0,01-10-2023
Missouri S&T,0,Lewis,3,01-10-2023
NJIT,1,McKendree,3,01-10-2023
St. Francis Brooklyn,0,Springfield,3,01-11-2023
LIU,3,Queens (NC),1,01-11-2023
Central St. (OH),3,Erskine,2,01-11-2023
King (TN),0,Lewis,3,01-11-2023
NJIT,0,Lindenwood,3,01-11-2023
Vanguard,0,CUI,3,01-11-2023
King (TN),0,Loyola Chicago,3,01-12-2023
LIU,1,Limestone,3,01-12-2023
Mount Olive,3,Tusculum,1,01-12-2023
Mount Olive,0,Lincoln Memorial,3,01-13-2023
FDU,3,American Int'l,0,01-13-2023
Emmanuel (GA),0,UC Irvine,3,01-13-2023
Barton,2,Tusculum,3,01-13-2023
Carthage,0,Purdue Fort Wayne,3,01-13-2023
Harvard,3,Sacred Heart,1,01-13-2023
Belmont Abbey,0,Charleston (WV),3,01-13-2023
Daemen,0,Penn St.,3,01-13-2023
Southern California,3,Lindenwood,0,01-13-2023
Kentucky St.,1,Maryville (MO),3,01-13-2023
UC San Diego,0,Loyola Chicago,3,01-13-2023
Master's,0,Pepperdine,3,01-13-2023
Grand Canyon,3,George Mason,0,01-13-2023
Princeton,1,UCLA,3,01-13-2023
UC Santa Barbara,0,Stanford,3,01-13-2023
Cal Lutheran,0,CSUN,3,01-13-2023
King (TN),0,Long Beach St.,3,01-13-2023
Ball St.,1,Hawaii,3,01-13-2023
Sacred Heart,0,NJIT,3,01-14-2023
Kentucky St.,0,Missouri S&T,3,01-14-2023
Barton,0,Lincoln Memorial,3,01-14-2023
Queens (NC),0,North Greenville,3,01-14-2023
American Int'l,0,Fairleigh Dickinson,3,01-14-2023
Merrimack,0,Penn St.,3,01-14-2023
Southern California,3,King (TN),0,01-14-2023
UC San Diego,1,Lewis,3,01-14-2023
D'Youville,3,Belmont Abbey,0,01-14-2023
Ohio St.,2,Grand Canyon,3,01-14-2023
UC Santa Barbara,2,Stanford,3,01-14-2023
Emmanuel (GA),0,Pepperdine,3,01-14-2023
Lindenwood,0,Long Beach St.,3,01-14-2023
Ball St.,1,Hawaii,3,01-14-2023
D'Youville,0,Charleston (WV),3,01-15-2023
Ohio St.,3,George Mason,1,01-15-2023
