,Team 1,Team 1 Score,Team 2,Team 2 Score
0,Brandon (CAN),2,CUI,3
1,BYU,3,Ohio St.,1
2,Wabash,0,Ball St.,3
3,McKendree,1,Hawaii,3
4,BYU,3,Ohio St.,1
5,UC Santa Cruz,1,Menlo,3
6,Trine,0,Ball St.,3
7,McKendree,0,Hawaii,3
8,Catawba,0,Charleston (WV),3
9,McKendree,0,UC San Diego,3
10,Roberts Wesleyan,3,Central St. (OH),0
11,Catawba,3,King (TN),1
12,Saint Francis,0,UC San Diego,3
13,Merrimack,1,CUI,3
14,Harvard,0,Hawaii,3
15,Roberts Wesleyan,3,Thomas More,1
16,Missouri S&T,0,UC Santa Barbara,3
17,Lincoln Memorial,3,North Greenville,1
18,Erskine,2,Barry,3
19,Tusculum,0,CSUN,3
20,Daemen,1,Southern California,3
21,Merrimack,0,Vanguard,3
22,Menlo,0,UC Irvine,3
23,Lincoln Memorial,3,Belmont Abbey,1
24,Tusculum,0,UC Irvine,3
25,Fort Valley St.,0,Ohio St.,3
26,Grand Canyon,3,NJIT,1
27,Saint Francis,0,UCLA,3
28,Rockhurst,0,Lindenwood,3
29,Barton,0,Barry,3
30,Central St. (OH),1,Purdue Fort Wayne,3
31,Maryville (MO),0,Lewis,3
32,Menlo,1,UC Santa Barbara,3
33,Penn St.,1,Loyola Chicago,3
34,Ball St.,3,Stanford,0
35,St. Thomas Aquinas,0,BYU,3
36,Daemen,0,UC San Diego,3
37,Missouri S&T,0,CSUN,3
38,Saint Francis,0,Long Beach St.,3
39,Edward Waters,,Emmanuel (GA),
40,Harvard,2,Hawaii,3
41,Fort Valley St.,0,Ohio St.,3
42,Barton,0,Barry,3
43,Menlo,1,CSUN,3
44,Charleston (WV),1,Queens (NC),3
45,Erskine,3,Edward Waters,0
46,Grand Canyon,3,NJIT,1
47,Missouri S&T,0,UC Irvine,3
48,Maryville (MO),1,Loyola Chicago,3
49,Penn St.,0,Lewis,3
50,Rockhurst,2,McKendree,3
51,Ball St.,0,Stanford,3
52,St. Thomas Aquinas,0,BYU,3
53,Tusculum,0,UC Santa Barbara,3
54,Princeton,0,Southern California,3
55,Daemen,3,CUI,1
56,Charleston (WV),2,Queens (NC),3
57,Missouri S&T,0,Pepperdine,3
58,Central St. (OH),0,Thomas More,3
59,Roosevelt,0,Lewis,3
60,George Mason,0,UC San Diego,3
61,Barry,1,FDU,3
62,Belmont Abbey,3,Catawba,1
63,Long Beach St.,3,Lindenwood,0
64,SUNY New Paltz,0,Menlo,3
65,Princeton,1,Hawaii,3
66,Roberts Wesleyan,1,LIU,3
67,Quincy,3,Roosevelt,1
68,BYU,3,Ball St.,2
69,Queens (NC),3,Belmont Abbey,0
70,Barry,0,Dominican (NY),3
71,Thomas More,3,Mt. St. Joseph,1
72,Long Beach St.,3,McKendree,0
73,Barry,1,St. Thomas Aquinas,3
74,Roberts Wesleyan,0,NJIT,3
75,Penn St.,0,UCLA,3
76,P.R.-Rio Piedras,1,Juniata,3
77,Sacred Heart,3,FDU,2
78,Mount Olive,3,Fort Valley St.,0
79,Tusculum,3,Erskine,0
80,BYU,3,Ball St.,2
81,Lindenwood,1,UC San Diego,3
82,Barry,0,LIU,3
83,Lincoln Memorial,3,Charleston (WV),0
84,Russell Sage,1,American Int'l,3
85,Lees-McRae,0,Catawba,3
86,George Mason,0,Grand Canyon,3
87,Saint Francis,0,Loyola Chicago,3
88,Rockhurst,0,Lewis,3
89,Ohio St.,0,Stanford,3
90,Purdue Fort Wayne,0,CSUN,3
