Rank,Player,Cl,Ht,Pos,S,Aces,Per Set
1,"Moni Nikolov, Long Beach St. (Big West)",Fr.,6-8,S,78,82,1.051
2,"Hilir Henno, UC Irvine (Big West)",Sr.,6-8,OH,74,55,0.743
3,"Luke Kraft, Maryville (MO) (DI Independent)",So.,6-5,OPP,74,50,0.676
4,"Andrew Deardorff, Saint Francis (NEC)",Sr.,6-5,OH,79,47,0.595
5,"Kai Vogel, Merrimack (DI Independent)",So.,6-3,OH,59,33,0.559
6,"Wojciech Nowak, Menlo (MPSF)",So.,6-3,OH,73,40,0.548
7,"Matthew Gentry, Lincoln Memorial (DI Independent)",Sr.,6-7,MB,70,37,0.529
8,"Donovan Constable, CSUN (Big West)",Sr.,6-2,S,88,45,0.511
9,"Maxim Grigoriev, UC Irvine (Big West)",Jr.,6-4,MB,74,37,0.500
10,"Shane Wetzel, Ohio St. (MIVA)",Jr.,6-7,OPP,89,44,0.494
11,"Keoni Thiim, BYU (MPSF)",Sr.,6-0,OH,75,37,0.493
12,"Diego Esquivel, Roosevelt  (DI Independent)",Jr.,6-6,MB,51,25,0.490
13,"Nyherowo Omene, Princeton (EIVA)",Sr.,6-7,OH,69,33,0.478
14,"Logan Muir, Purdue Fort Wayne (MIVA)",So.,6-5,OPP,83,39,0.470
15,"Isaiah Fedd, Fort Valley St. (SIAC)",Jr.,6-3,OH,64,30,0.469
16,"Parker Van Buren, Loyola Chicago (MIVA)",Sr.,6-9,OH,79,37,0.468
17,"Cole Hartke, Pepperdine (MPSF)",Fr.,0-0,OH,64,29,0.453
18,"Bryce Dvorak, UC San Diego (Big West)",Sr.,6-4,S,87,39,0.448
19,"Kristian Titriyski, Hawaii (Big West)",Fr.,6-5,OPP,76,34,0.447
20,"Shay Spadaro, Rockhurst (DI Independent)",Jr.,6-4,OH,85,38,0.447
21,"Ryan Barnett, Pepperdine (MPSF)",Jr.,6-5,OH,74,33,0.446
22,"Logan Whitaker, Merrimack (DI Independent)",Jr.,6-4,OH,59,26,0.441
23,"Aleksa Mandic, Sacred Heart (EIVA)",So.,6-5,OH,69,30,0.435
24,"Zach Solomon, Lindenwood (MIVA)",Jr.,6-3,S,81,35,0.432
25,"Chase Celichowski, LIU (NEC)",Jr.,6-5,OH,64,27,0.422
26,"Jackson Lahey, Mount Olive (Conference Carolinas)",Jr.,6-2,S,68,28,0.412
27,"Billy Wieberg, Daemen (NEC)",Sr.,6-4,OH,66,27,0.409
28,"Stanislaw Chacinski, Ohio St. (MIVA)",Fr.,6-7,OH,91,37,0.407
29,"Michael de la Cruz, North Greenville (Conference Carolinas)",Sr.,6-3,MB,79,32,0.405
30,"Oneil Daley, Edward Waters (SIAC)",Sr.,5-9,S,77,31,0.403
30,"Trevor Phillips, Catawba (DI Independent)",Sr.,6-6,OH,77,31,0.403
32,"Aleksandar Sosa, Quincy (MIVA)",So.,6-7,OPP,92,37,0.402
33,"Logan Shepherd, Harvard (EIVA)",Sr.,6-4,OH,56,22,0.393
34,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,59,23,0.390
35,"Cooper Robinson, UCLA (MPSF)",Sr.,6-7,OH,72,28,0.389
36,"Ty Carson, Menlo (MPSF)",Fr.,6-4,OH,67,26,0.388
37,"Jarrett Anderson, Grand Canyon (MPSF)",Sr.,6-5,OPP,66,25,0.379
37,"Theo Snoey, Stanford (MPSF)",Jr.,6-8,OPP,66,25,0.379
39,"Jaedyn Harris, Central St. (OH) (SIAC)",So.,6-2,OH,74,28,0.378
39,"Will Kuhns, Penn St. (EIVA)",Sr.,6-3,OH,74,28,0.378
39,"Ryan McElligott, Loyola Chicago (MIVA)",Jr.,6-5,S,74,28,0.378
42,"Leo Pravednikov, UC San Diego (Big West)",Jr.,6-4,OH,83,31,0.373
43,"Blake Krapf, Dominican (NY) (ECC)",So.,6-5,OH,75,27,0.360
43,"Jaqson Lesure, LeMoyne-Owen (SIAC)",Fr.,6-0,S,50,18,0.360
45,"Deklan Wingo, Tusculum (DI Independent)",Sr.,6-4,OH,90,32,0.356
46,"Nathan Flayter, McKendree (MIVA)",So.,6-4,S,97,34,0.351
47,"Tread Rosenthal, Hawaii (Big West)",So.,6-8,S,86,30,0.349
48,"Gino Briglio, Erskine (Conference Carolinas)",Jr.,6-2,S,66,23,0.348
49,"Carson Strawbridge, Queens (NC) (MIVA)",So.,6-2,OH,92,32,0.348
50,"Andrej Polomac, Purdue Fort Wayne (MIVA)",So.,6-6,S,79,27,0.342
51,"Carter Stenmark, Lindenwood (MIVA)",Sr.,6-3,OH,83,28,0.337
52,"James Bardin, Harvard (EIVA)",Sr.,6-7,S,60,20,0.333
52,"Anthony Cherfan, UC San Diego (Big West)",Sr.,6-6,OPP,81,27,0.333
52,"Isaiah Vogel, Merrimack (DI Independent)",So.,6-3,OH,45,15,0.333
55,"Daniel Haber, Lewis (MIVA)",Jr.,6-6,OH,94,31,0.330
56,"Stilian Delibosov, CSUN (Big West)",Fr.,6-6,MB,82,27,0.329
56,"Adrien Roure, Hawaii (Big West)",Fr.,6-5,OH,82,27,0.329
58,"Skyler Varga, Long Beach St. (Big West)",Sr.,6-7,OH,67,22,0.328
59,"Gio Collazo, George Mason (EIVA)",Sr.,6-2,OH,64,21,0.328
60,"Richard Hendricks, Edward Waters (SIAC)",Jr.,5-10,OH,77,25,0.325
61,"Nate Meyer, Missouri S&T (DI Independent)",Jr.,6-3,OH,74,24,0.324
62,"Zach Rama, UCLA (MPSF)",Jr.,6-8,OH,68,22,0.324
63,"Morgan Makovec, Tusculum (DI Independent)",So.,6-5,MB,90,29,0.322
64,"Patrick Rogers, Ball St. (MIVA)",Jr.,6-7,OH,105,33,0.314
65,"Griffin Monrad, Roberts Wesleyan (ECC)",So.,6-3,OPP,86,27,0.314
66,"Jake Read, Loyola Chicago (MIVA)",So.,6-4,OH,80,25,0.313
67,"Patrick Mullen, Daemen (NEC)",So.,6-4,MB,58,18,0.310
