Rank,Player,Cl,Ht,Pos,S,Assists,Per Set
1,"Connor Sheehan, Lindenwood (MIVA)",Sr.,6-0,S,100,"1,114",11.14
2,"Brett Sheward, UC Irvine (Big West)",Sr.,6-2,S,116,"1,218",10.50
2,"Nicholas Slight, Grand Canyon (MPSF)",Jr.,6-3,S,108,"1,134",10.50
4,"Logan Taylor, North Greenville (Conference Carolinas)",Fr.,6-3,S,83,864,10.41
5,"Tyler Poulsen, McKendree (MIVA)",Sr.,6-4,S,75,771,10.28
6,"Aidan Knipe, Long Beach St. (Big West)",Sr.,6-3,S,98,"1,007",10.28
7,"Francisco Pomar, Erskine (Conference Carolinas)",Sr.,5-10,S,84,861,10.25
8,"Kohl Kutsch, Lincoln Memorial (DI Independent)",Sr.,6-4,S,90,919,10.21
9,"Tread Rosenthal, Hawaii (Big West)",Fr.,6-8,S,101,"1,018",10.08
10,"Andrew Rowan, UCLA (MPSF)",So.,6-6,S,115,"1,157",10.06
11,"Donovan Constable, CSUN (Big West)",Jr.,6-1,S,109,"1,077",9.88
12,"Tyler Morgan, Lewis (MIVA)",Jr.,6-7,S,109,"1,070",9.82
13,"Jackson Lahey, Mount Olive (Conference Carolinas)",So.,6-2,S,92,899,9.77
14,"Henry Wedbush, Princeton (EIVA)",Jr.,6-4,S,75,732,9.76
15,"Tyler Herget, BYU (MPSF)",So.,6-2,S,92,896,9.74
16,"Teddy Payne, Sacred Heart (NEC)",Sr.,6-2,S,84,815,9.70
17,"Andrej Polomac, Purdue Fort Wayne (MIVA)",Fr.,6-6,S,95,919,9.67
18,"Nathan Lietzke, Stanford (MPSF)",Sr.,6-6,S,98,944,9.63
19,"Abdallah Roshdy, Emmanuel (GA) (Conference Carolinas)",Fr.,6-2,S,86,824,9.58
20,"Ryan Parker, Saint Francis (PA) (NEC)",Sr.,6-3,S,101,965,9.55
21,"Sean Califf, Daemen (NEC)",Sr.,6-5,S,80,764,9.55
22,"Lucas Machado, Ball St. (MIVA)",Fr.,6-6,S,86,812,9.44
23,"Randy Adorno, D'Youville (NEC)",Jr.,6-0,S,77,725,9.42
24,"Griffin Fieseler, NJIT (EIVA)",Sr.,6-7,S,102,960,9.41
25,"Joseph Morris, Belmont Abbey (Conference Carolinas)",Fr.,6-6,S,86,809,9.41
26,"Jose Angarita, FDU (NEC)",Jr.,6-2,S,81,748,9.23
27,"Troy McDonald, George Mason (EIVA)",Jr.,6-4,S,87,800,9.20
28,"Caleb Blanchette, Southern California (MPSF)",Fr.,6-5,S,104,954,9.17
29,"Tristan Blake, Tusculum (DI Independent)",So.,6-3,S,97,886,9.13
30,"Jack Walmer, UC Santa Barbara (Big West)",Jr.,6-3,S,103,936,9.09
31,"Grant Edmonds, Missouri S&T (DI Independent)",Fr.,6-2,S,66,598,9.06
32,"Cameron Chambers, Maryville (MO) (DI Independent)",Sr.,6-0,S,87,787,9.05
33,"James Bardin, Harvard (EIVA)",Jr.,6-7,S,81,708,8.74
34,"Paul Stommel, Charleston (WV) (EIVA)",Jr.,6-3,S,86,742,8.63
35,"Yotam Briger, CUI (MPSF)",Fr.,6-2,S,85,730,8.59
36,"Daniel Leitao, Queens (NC) (MIVA)",Sr.,6-4,S,95,812,8.55
37,"Aiden Olson, King (TN) (Conference Carolinas)",Fr.,6-2,S,63,538,8.54
38,"Seth Deppe, Barton (Conference Carolinas)",Jr.,6-2,S,92,770,8.37
39,"Jack Sarnowski, LIU (NEC)",Sr.,6-3,S,65,541,8.32
40,"Michael Wright, Ohio St. (MIVA)",Sr.,6-4,S,102,842,8.25
41,"Luke Koster, Dominican (NY) (ECC)",Fr.,6-4,S,85,697,8.20
42,"Reece Lindstrom, Merrimack (NEC)",Fr.,6-6,S,87,711,8.17
43,"Riley Green, Roberts Wesleyan (ECC)",So.,6-0,S,81,660,8.15
44,"Ryan Graves, Pepperdine (MPSF)",Fr.,6-4,S,74,596,8.05
45,"Jose Gallardo, Fort Valley St. (SIAC)",Sr.,6-3,S,69,494,7.16
46,"Ian Ford, Central St. (OH) (SIAC)",Fr.,6-2,S,111,775,6.98
47,"Michael Maldonado, American Int'l (ECC)",So.,6-0,S,61,424,6.95
48,"Kendersley Marcellin, Benedict (SIAC)",So.,5-10,S,57,389,6.82
49,"Dylan Feely, Quincy (MIVA)",So.,6-0,S,62,408,6.58
50,"Abdirahman Ahmed, Lees-McRae (Conference Carolinas)",So.,6-5,S,65,411,6.32
