Rank,Team,S,W-L,Assists,Per Set
1,UC Irvine (Big West),117,20-11,"1,466",12.53
2,Lindenwood (MIVA),102,16-12,"1,258",12.33
3,Loyola Chicago (MIVA),106,19-10,"1,297",12.24
4,Ohio St. (MIVA),121,22-9,"1,457",12.04
5,Grand Canyon (MPSF),110,26-5,"1,319",11.99
6,UCLA (MPSF),118,26-5,"1,413",11.97
7,Hawaii (Big West),106,23-7,"1,257",11.86
8,Long Beach St. (Big West),107,27-3,"1,266",11.83
9,McKendree (MIVA),94,14-12,"1,101",11.71
10,Pepperdine (MPSF),103,17-11,"1,206",11.71
11,Ball St. (MIVA),113,21-10,"1,315",11.64
12,Lincoln Memorial (DI Independent),93,21-5,"1,079",11.60
13,CSUN (Big West),111,13-16,"1,281",11.54
14,BYU (MPSF),98,16-9,"1,128",11.51
15,Penn St. (EIVA),116,23-7,"1,326",11.43
16,George Mason (EIVA),107,18-10,"1,219",11.39
17,Stanford (MPSF),99,14-12,"1,126",11.37
18,North Greenville (Conference Carolinas),94,15-9,"1,064",11.32
19,Lewis (MIVA),117,15-15,"1,312",11.21
20,Princeton (EIVA),92,12-12,"1,031",11.21
21,Belmont Abbey (Conference Carolinas),97,21-5,"1,087",11.21
22,Daemen (NEC),90,20-6,"1,000",11.11
23,UC Santa Barbara (Big West),110,9-18,"1,219",11.08
24,NJIT (EIVA),102,11-15,"1,130",11.08
25,Erskine (Conference Carolinas),85,13-11,941,11.07
26,Southern California (MPSF),109,13-15,"1,203",11.04
27,Saint Francis (PA) (NEC),113,21-9,"1,247",11.04
28,Sacred Heart (NEC),118,12-20,"1,301",11.03
29,Purdue Fort Wayne (MIVA),99,14-12,"1,089",11.00
30,Mount Olive (Conference Carolinas),96,17-10,"1,052",10.96
31,D'Youville (NEC),82,10-13,884,10.78
32,LIU (NEC),96,14-13,"1,027",10.70
33,Emmanuel (GA) (Conference Carolinas),101,9-19,"1,080",10.69
34,FDU (NEC),99,12-15,"1,054",10.65
35,Merrimack (NEC),88,9-16,933,10.60
36,Harvard (EIVA),96,12-13,"1,015",10.57
37,Charleston (WV) (EIVA),110,13-16,"1,154",10.49
38,Maryville (MO) (DI Independent),105,21-8,"1,097",10.45
39,Missouri S&T (DI Independent),75,10-12,779,10.39
40,King (TN) (Conference Carolinas),92,7-21,945,10.27
41,Fort Valley St. (SIAC),81,17-9,824,10.17
42,Tusculum (DI Independent),108,8-23,"1,098",10.17
43,UC San Diego (Big West),97,12-15,985,10.15
44,Queens (NC) (MIVA),108,9-21,"1,088",10.07
45,St. Thomas Aquinas (ECC),78,10-12,783,10.04
46,CUI (MPSF),89,6-19,892,10.02
47,Quincy (MIVA),83,5-19,829,9.99
48,Barton (Conference Carolinas),92,12-13,877,9.53
49,Roberts Wesleyan (ECC),84,8-16,787,9.37
50,Dominican (NY) (ECC),86,12-13,788,9.16
