Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
1,"Deklan Wingo, Tusculum (DI Independent)",Sr.,6-4,OH,90,441,134,893,9.92
2,"Alendy Sincoul, LeMoyne-Owen (SIAC)",Fr.,6-4,OH,44,137,81,428,9.73
3,"Trevor Phillips, Catawba (DI Independent)",Sr.,6-6,OH,77,315,117,733,9.52
4,"Gabriel Vieira, St. Thomas Aquinas (ECC)",So.,6-9,OH,68,297,103,643,9.46
5,"Richard Hendricks, Edward Waters (SIAC)",Jr.,5-10,OH,77,292,137,701,9.10
6,"Theo Snoey, Stanford (MPSF)",Jr.,6-8,OPP,66,263,96,588,8.91
7,"Jalen Phillips, CSUN (Big West)",So.,6-6,OPP,85,348,129,748,8.80
8,"Aleksandar Sosa, Quincy (MIVA)",So.,6-7,OPP,92,331,145,807,8.77
9,"Hilir Henno, UC Irvine (Big West)",Sr.,6-8,OH,74,321,91,642,8.68
10,"Andrew Deardorff, Saint Francis (NEC)",Sr.,6-5,OH,79,309,103,680,8.61
11,"Andrea Di Paola, Roosevelt  (DI Independent)",Sr.,6-5,OH,67,194,112,564,8.42
12,"Oguzhan Oguz, Lewis (MIVA)",So.,6-8,OPP,97,389,110,809,8.34
13,"Mustafa Selçuk Uyar, Menlo (MPSF)",Sr.,6-8,OPP,72,254,107,600,8.33
14,"Alex Barkley, King (TN) (Conference Carolinas)",So.,6-3,OH,65,178,93,541,8.32
15,"Kory Grant, Mount Olive (Conference Carolinas)",Jr.,6-3,OH,65,240,65,540,8.31
16,"Parker Van Buren, Loyola Chicago (MIVA)",Sr.,6-9,OH,79,335,65,651,8.24
17,"Christopher Knowles, LIU (NEC)",Jr.,6-7,OH,59,195,98,486,8.24
18,"Eli Zdonek, Catawba (DI Independent)",Sr.,6-0,OH,77,266,96,632,8.21
19,"Luke Kraft, Maryville (MO) (DI Independent)",So.,6-5,OPP,74,269,103,607,8.20
20,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,59,227,80,483,8.19
21,"Pablo Zamar, Erskine (Conference Carolinas)",Sr.,6-4,OH,56,177,73,458,8.18
22,"Dillon Klein, Southern California (MPSF)",Jr.,6-6,OH,67,274,63,546,8.15
23,"Lucas Tran, Rockhurst (DI Independent)",Fr.,6-6,OPP,71,270,102,575,8.10
24,"Blake Krapf, Dominican (NY) (ECC)",So.,6-5,OH,75,231,131,607,8.09
25,"Kristian Titriyski, Hawaii (Big West)",Fr.,6-5,OPP,76,322,122,615,8.09
26,"Nyherowo Omene, Princeton (EIVA)",Sr.,6-7,OH,69,284,98,557,8.07
27,"Aidan Feeney, Emmanuel (GA) (Conference Carolinas)",Jr.,6-5,OH,75,253,117,603,8.04
28,"Logan Muir, Purdue Fort Wayne (MIVA)",So.,6-5,OPP,83,344,136,659,7.94
29,"Willie Lopez Morales, American Int'l (ECC)",So.,6-0,OH,73,234,147,569,7.79
30,"Anthony Cherfan, UC San Diego (Big West)",Sr.,6-6,OPP,81,294,82,630,7.78
31,"Allen Faison, Erskine (Conference Carolinas)",Jr.,6-2,OH,55,164,85,427,7.76
32,"Cole Hartke, Pepperdine (MPSF)",Fr.,0-0,OH,64,244,68,496,7.75
33,"Nate Meyer, Missouri S&T (DI Independent)",Jr.,6-3,OH,74,241,87,573,7.74
34,"Colton Bueter, King (TN) (Conference Carolinas)",Jr.,6-2,OH,75,189,110,580,7.73
35,"Zach Puentes, Belmont Abbey (Conference Carolinas)",So.,6-2,OH,67,225,80,516,7.70
36,"Lawson Hink, Barton (Conference Carolinas)",Fr.,6-6,OH,80,240,121,614,7.68
37,"Aleksa Mandic, Sacred Heart (EIVA)",So.,6-5,OH,69,225,80,529,7.67
38,"Keoni Thiim, BYU (MPSF)",Sr.,6-0,OH,75,265,98,574,7.65
39,"Aaron Sallade, Missouri S&T (DI Independent)",Jr.,6-6,OPP,72,215,109,551,7.65
40,"Makai Scott, Maryville (MO) (DI Independent)",So.,6-0,OH,76,258,125,581,7.64
41,"Moses Wagner, Stanford (MPSF)",Jr.,6-6,OPP,73,242,100,557,7.63
42,"Raje Alleyne, Ball St. (MIVA)",Sr.,6-6,OPP,77,266,107,578,7.51
43,"Ryan DeJohn, Roberts Wesleyan (ECC)",Fr.,5-11,OH,83,242,111,623,7.51
44,"Lucas Nieves, Emmanuel (GA) (Conference Carolinas)",So.,6-1,OPP,61,143,82,457,7.49
45,"Jack Sandahl, Barton (Conference Carolinas)",Sr.,6-3,OH,74,209,87,554,7.49
46,"Jake Adams, Barton (Conference Carolinas)",Sr.,6-2,OH,78,183,81,583,7.47
47,"Daniel Fabikovic, Loyola Chicago (MIVA)",So.,6-6,OH,85,285,87,632,7.44
48,"Kevin Schuele, McKendree (MIVA)",Sr.,6-4,OH,82,242,93,608,7.41
49,"Logan Whitaker, Merrimack (DI Independent)",Jr.,6-4,OH,59,190,85,437,7.41
50,"Shane Wetzel, Ohio St. (MIVA)",Jr.,6-7,OPP,89,325,135,659,7.40
51,"Shay Spadaro, Rockhurst (DI Independent)",Jr.,6-4,OH,85,259,105,628,7.39
52,"Luke Benson, BYU (MPSF)",Sr.,6-7,OH,79,264,105,583,7.38
53,"Nolan Flexen, UC Irvine (Big West)",Jr.,6-9,OH,74,254,82,545,7.36
54,"Chance Shampine, Queens (NC) (MIVA)",So.,6-2,OH,84,228,128,618,7.36
55,"Austin Beaird, Lees-McRae (Conference Carolinas)",Jr.,6-3,OH,87,247,144,640,7.36
56,"Matthew Pilch, Queens (NC) (MIVA)",Sr.,6-3,OH,85,245,62,624,7.34
57,"Colton Beres, Barry (DI Independent)",Fr.,6-5,OH,65,178,140,476,7.32
58,"Matthew Luoma, Penn St. (EIVA)",So.,6-7,OH,62,178,99,452,7.29
59,"Kai Cousins, Charleston (WV) (EIVA)",Fr.,6-1,OH,77,261,115,557,7.23
60,"Ian De Wilde, D'Youville (NEC)",Sr.,6-1,OH,65,154,90,468,7.20
61,"Carson Strawbridge, Queens (NC) (MIVA)",So.,6-2,OH,92,283,117,659,7.16
62,"Sam Hoskin, McKendree (MIVA)",Jr.,6-4,OH,91,277,85,650,7.14
63,"Max Roquet, Lewis (MIVA)",Sr.,6-8,OH,104,335,108,741,7.13
64,"Isaiah Fedd, Fort Valley St. (SIAC)",Jr.,6-3,OH,64,242,73,451,7.05
65,"Riggs Guy, UC Santa Barbara (Big West)",Fr.,6-3,OH,71,217,107,500,7.04
66,"Robert Evangelista, George Mason (EIVA)",So.,6-4,OH,59,176,79,414,7.02
67,"Ryan Barnett, Pepperdine (MPSF)",Jr.,6-5,OH,74,257,88,516,6.97
67,"Will Kuhns, Penn St. (EIVA)",Sr.,6-3,OH,74,245,104,516,6.97
69,"Kyran Versteegen, St. Thomas Aquinas (ECC)",So.,6-4,S,62,168,81,430,6.94
70,"Logan Freemon, Vanguard  (MPSF)",Fr.,6-7,OPP,85,214,100,588,6.92
71,"Patrick Rogers, Ball St. (MIVA)",Jr.,6-7,OH,105,335,132,726,6.91
72,"Wiktor Nowak, NJIT (EIVA)",Fr.,0-0,,64,178,115,441,6.89
73,"Chase Celichowski, LIU (NEC)",Jr.,6-5,OH,64,199,50,440,6.88
74,"Zach Rama, UCLA (MPSF)",Jr.,6-8,OH,68,209,79,466,6.85
75,"Dylan McFadden, FDU (NEC)",Jr.,6-2,OH,66,180,88,450,6.82
76,"Logan Shepherd, Harvard (EIVA)",Sr.,6-4,OH,56,140,63,379,6.77
