Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
1,"Nicodemus Meyer, Loyola Chicago (MIVA)",Sr.,6-10,MB,85,19,91,110,1.294
2,"Relja Milosavljevic, Quincy (MIVA)",So.,6-6,MB,87,34,72,106,1.218
3,"David Weiss, St. Thomas Aquinas (ECC)",So.,6-7,MB,74,14,76,90,1.216
4,"Ryan Uridel, Barry (DI Independent)",Fr.,6-5,MH,80,6,89,95,1.188
5,"Stilian Delibosov, CSUN (Big West)",Fr.,6-6,MB,82,12,84,96,1.171
6,"Ryan Geraci, Barton (Conference Carolinas)",So.,6-6,MB,86,24,76,100,1.163
7,"Tyler Kuehl, Erskine (Conference Carolinas)",So.,6-5,MB,53,9,52,61,1.151
8,"Parker Tomkinson, Southern California (MPSF)",Fr.,7-0,MB,73,5,78,83,1.137
9,"Jibriel Elhaddad, Belmont Abbey (Conference Carolinas)",Jr.,6-7,MB,74,19,64,83,1.122
10,"Isaac Benka, LIU (NEC)",So.,6-9,MB,67,8,67,75,1.119
11,"Matthew Gentry, Lincoln Memorial (DI Independent)",Sr.,6-7,MB,70,21,57,78,1.114
12,"Cameron Thorne, UCLA (MPSF)",So.,6-4,MB,72,10,70,80,1.111
13,"Niko Hales, BYU (MPSF)",Fr.,6-8,MB,70,11,65,76,1.086
14,"Holden Maryott, Mount Olive (Conference Carolinas)",Sr.,6-7,MB,63,10,57,67,1.063
15,"Alexander Lillie, George Mason (EIVA)",Fr.,6-8,MB,72,31,45,76,1.056
15,"Teon Taylor, BYU (MPSF)",Sr.,6-6,OH,90,15,80,95,1.056
17,"Guy Genis, Southern California (MPSF)",Sr.,6-5,MB,62,4,61,65,1.048
18,"Clement Osahon Jr., CUI (MPSF)",Sr.,6-5,MB,65,14,54,68,1.046
19,"Owen Rose, Penn St. (EIVA)",Sr.,6-7,MB,75,11,67,78,1.040
20,"Kurt Nusterer, Hawaii (Big West)",Jr.,6-9,MB,79,9,72,81,1.025
21,"DiAeris McRaven, Long Beach St. (Big West)",Sr.,6-5,MB,65,5,61,66,1.015
22,"Trevell Jordan, Grand Canyon (MPSF)",Fr.,6-10,MB,66,12,55,67,1.015
23,"Micah Goss, UC Irvine (Big West)",Fr.,6-6,MB,71,9,62,71,1.000
24,"Rolen Lively, McKendree (MIVA)",Jr.,6-8,MB,94,15,77,92,0.979
25,"Elias Fuhrer, Barry (DI Independent)",Fr.,6-8,MH,84,7,75,82,0.976
