Rank,Team,S,W-L,Block Solos,Block Assists,TB,Per Set
1,Long Beach St. (Big West),107,27-3,52,566,335.0,3.131
2,Mount Olive (Conference Carolinas),96,17-10,76,338,245.0,2.552
3,LIU (NEC),96,14-13,62,365,244.5,2.547
4,UCLA (MPSF),118,26-5,37,520,297.0,2.517
5,Barton (Conference Carolinas),92,12-13,81,300,231.0,2.511
6,Hawaii (Big West),106,23-7,45,430,260.0,2.453
7,Pepperdine (MPSF),103,17-11,40,418,249.0,2.417
8,Belmont Abbey (Conference Carolinas),97,21-5,50,366,233.0,2.402
9,Southern California (MPSF),109,13-15,53,409,257.5,2.362
10,Princeton (EIVA),92,12-12,43,345,215.5,2.342
11,Lewis (MIVA),117,15-15,53,433,269.5,2.303
12,Loyola Chicago (MIVA),106,19-10,37,414,244.0,2.302
13,Grand Canyon (MPSF),110,26-5,48,410,253.0,2.300
14,UC San Diego (Big West),97,12-15,39,361,219.5,2.263
15,UC Irvine (Big West),117,20-11,45,438,264.0,2.256
16,CSUN (Big West),111,13-16,56,382,247.0,2.225
17,Harvard (EIVA),96,12-13,44,329,208.5,2.172
18,Ball St. (MIVA),113,21-10,42,405,244.5,2.164
19,Charleston (WV) (EIVA),110,13-16,57,360,237.0,2.155
20,Daemen (NEC),90,20-6,45,291,190.5,2.117
21,Ohio St. (MIVA),121,22-9,29,454,256.0,2.116
22,Lincoln Memorial (DI Independent),93,21-5,51,287,194.5,2.091
23,George Mason (EIVA),107,18-10,60,322,221.0,2.065
24,McKendree (MIVA),94,14-12,43,297,191.5,2.037
25,BYU (MPSF),98,16-9,29,340,199.0,2.031
26,Purdue Fort Wayne (MIVA),99,14-12,36,330,201.0,2.030
27,Benedict (SIAC),76,3-17,97,111,152.5,2.007
28,Emmanuel (GA) (Conference Carolinas),101,9-19,50,305,202.5,2.005
29,Stanford (MPSF),99,14-12,49,297,197.5,1.995
30,Penn St. (EIVA),116,23-7,55,346,228.0,1.966
31,Fort Valley St. (SIAC),81,17-9,54,208,158.0,1.951
32,NJIT (EIVA),102,11-15,41,315,198.5,1.946
33,CUI (MPSF),89,6-19,50,246,173.0,1.944
34,St. Thomas Aquinas (ECC),78,10-12,34,229,148.5,1.904
35,D'Youville (NEC),82,10-13,50,202,151.0,1.841
36,Dominican (NY) (ECC),86,12-13,73,166,156.0,1.814
37,Maryville (MO) (DI Independent),105,21-8,84,207,187.5,1.786
38,Queens (NC) (MIVA),108,9-21,54,277,192.5,1.782
39,Saint Francis (PA) (NEC),113,21-9,31,340,201.0,1.779
40,UC Santa Barbara (Big West),110,9-18,30,320,190.0,1.727
41,Missouri S&T (DI Independent),75,10-12,45,167,128.5,1.713
42,Central St. (OH) (SIAC),118,9-27,44,314,201.0,1.703
43,FDU (NEC),99,12-15,56,225,168.5,1.702
44,King (TN) (Conference Carolinas),92,7-21,41,225,153.5,1.668
45,Merrimack (NEC),88,9-16,68,155,145.5,1.653
46,Lees-McRae (Conference Carolinas),97,2-26,42,233,158.5,1.634
47,Roberts Wesleyan (ECC),84,8-16,46,182,137.0,1.631
48,Quincy (MIVA),83,5-19,72,126,135.0,1.627
49,North Greenville (Conference Carolinas),94,15-9,37,231,152.5,1.622
50,Erskine (Conference Carolinas),85,13-11,29,216,137.0,1.612
