Rank,Player,Cl,Ht,Pos,S,Digs,Per Set
1,"Clint Forbes, Benedict (SIAC)",Jr.,5-7,L/DS,76,245,3.22
2,"Nicklas Eichenberger, Emmanuel (GA) (Conference Carolinas)",Sr.,5-11,L,101,312,3.09
3,"Peyton Blain, Saint Francis (PA) (NEC)",Sr.,6-1,L,113,318,2.81
4,"Kyle Standage, Merrimack (NEC)",So.,5-10,L,88,245,2.78
5,"Moises Jimenez, Roberts Wesleyan (ECC)",Jr.,6-0,OH,83,224,2.70
6,"Javier Saldivar, Kentucky St. (SIAC)",Jr.,5-7,L,74,177,2.39
7,"Alejandro Leon, Belmont Abbey (Conference Carolinas)",Fr.,6-0,L,96,219,2.28
8,"Grady Hoffman, FDU (NEC)",Jr.,6-1,L,77,175,2.27
9,"Tyler  Roukey, Dominican (NY) (ECC)",Fr.,5-11,L,73,165,2.26
10,"Mason Briggs, Long Beach St. (Big West)",Sr.,6-0,L,107,239,2.23
11,"Dominik Wagiel, Quincy (MIVA)",Jr.,5-9,L/DS,83,185,2.23
12,"Zac Clark, Maryville (MO) (DI Independent)",So.,6-0,L,81,178,2.20
13,"Trey Cole, Pepperdine (MPSF)",Sr.,6-4,L,100,218,2.18
14,"Kevin Schuele, McKendree (MIVA)",Jr.,6-4,OH,88,187,2.13
15,"Ryan Merk, Penn St. (EIVA)",Jr.,6-0,L,116,245,2.11
16,"Michael Krueger, Daemen (NEC)",Sr.,6-2,S,69,145,2.10
17,"Nico Paula, Lewis (MIVA)",So.,6-1,L,108,225,2.08
18,"KJ Harrison, Central St. (OH) (SIAC)",Fr.,5-6,L,112,233,2.08
19,"Thomas Poole, Ohio St. (MIVA)",Sr.,5-9,L,114,237,2.08
20,"Mert Asma, Mount Olive (Conference Carolinas)",So.,5-10,L,91,188,2.07
21,"Yadiel Diaz, McKendree (MIVA)",So.,5-6,L/DS,94,194,2.06
22,"Diego Cardona, Fort Valley St. (SIAC)",So.,5-7,L,78,156,2.00
23,"Cooper Herndon, Grand Canyon (MPSF)",Jr.,6-1,L,94,182,1.94
24,"Seth Deppe, Barton (Conference Carolinas)",Jr.,6-2,S,92,178,1.93
25,"Cole Power, UC Irvine (Big West)",Sr.,5-11,L,117,226,1.93
26,"Ian Schuller, Lindenwood (MIVA)",So.,6-5,OPP,95,183,1.93
27,"Tyler Poulsen, McKendree (MIVA)",Sr.,6-4,S,75,143,1.91
28,"Kohl Kutsch, Lincoln Memorial (DI Independent)",Sr.,6-4,S,90,171,1.90
29,"Nathan Lietzke, Stanford (MPSF)",Sr.,6-6,S,98,186,1.90
30,"Makai Scott, Maryville (MO) (DI Independent)",Fr.,6-0,OH,93,176,1.89
31,"Brandon Johnston, Barton (Conference Carolinas)",Sr.,6-3,OH,91,170,1.87
32,"Paul Wyszynski, George Mason (EIVA)",So.,5-9,L,107,199,1.86
33,"‘Eleu Choy, Hawaii (Big West)",Jr.,5-7,L/DS,106,197,1.86
34,"Cole Younger, Sacred Heart (NEC)",Sr.,6-1,L/DS,91,169,1.86
35,"Sean Califf, Daemen (NEC)",Sr.,6-5,S,80,145,1.81
36,"Austin Stuard, Southern California (MPSF)",Jr.,6-1,L/DS,103,186,1.81
37,"Nicholas Slight, Grand Canyon (MPSF)",Jr.,6-3,S,108,195,1.81
38,"Joseph Morris, Belmont Abbey (Conference Carolinas)",Fr.,6-6,S,86,155,1.80
39,"Robert Santana, American Int'l (ECC)",So.,6-1,OH,68,121,1.78
40,"Curtis Raines, Charleston (WV) (EIVA)",Jr.,5-9,L,103,182,1.77
41,"Brett Sheward, UC Irvine (Big West)",Sr.,6-2,S,116,204,1.76
42,"Evan Boyle, UC San Diego (Big West)",So.,6-0,L,94,165,1.76
43,"Henry Wedbush, Princeton (EIVA)",Jr.,6-4,S,75,131,1.75
44,"Clay Wieter, Lindenwood (MIVA)",Sr.,6-6,OH,101,176,1.74
45,"Luke Turner, Stanford (MPSF)",Sr.,6-6,OH,99,171,1.73
46,"Noah Varga, Lindenwood (MIVA)",Jr.,6-0,L,85,146,1.72
47,"Ethan Young, FDU (NEC)",Sr.,6-3,OH,81,138,1.70
48,"Tate Colebaugh, Lincoln Memorial (DI Independent)",So.,5-8,L/DS,93,158,1.70
49,"Logan Shepherd, Harvard (EIVA)",Jr.,6-4,OH,96,161,1.68
50,"Warren Davis, King (TN) (Conference Carolinas)",Sr.,6-0,OH,82,137,1.67
51,"Jackson Lahey, Mount Olive (Conference Carolinas)",So.,6-2,S,92,153,1.66
52,"Omar Hoyos, George Mason (EIVA)",Sr.,6-6,OH,106,176,1.66
53,"Mikey Widmyer, Erskine (Conference Carolinas)",So.,5-10,L,68,112,1.65
54,"Logan Taylor, North Greenville (Conference Carolinas)",Fr.,6-3,S,83,136,1.64
55,"Lucas Machado, Ball St. (MIVA)",Fr.,6-6,S,86,140,1.63
56,"Diego Rosich, North Greenville (Conference Carolinas)",Sr.,6-5,OH,75,122,1.63
57,"Matt Suh, Princeton (EIVA)",Jr.,5-11,L,80,130,1.63
58,"Tyler Herget, BYU (MPSF)",So.,6-2,S,92,149,1.62
59,"Jack Brinkman, Queens (NC) (MIVA)",Sr.,6-2,OH,91,147,1.62
60,"Max Roquet, Lewis (MIVA)",Jr.,6-8,OH,112,180,1.61
61,"James Bardin, Harvard (EIVA)",Jr.,6-7,S,81,129,1.59
62,"Luke Kraft, Maryville (MO) (DI Independent)",Fr.,6-5,OPP,95,151,1.59
63,"Fabian Lugo, American Int'l (ECC)",So.,5-10,L/DS,63,100,1.59
64,"Kendersley Marcellin, Benedict (SIAC)",So.,5-10,S,57,90,1.58
64,"Matthew Staskunas, Belmont Abbey (Conference Carolinas)",Jr.,6-5,OH,95,150,1.58
66,"Randy Adorno, D'Youville (NEC)",Jr.,6-0,S,77,121,1.57
67,"Ron Tidhar, NJIT (EIVA)",Fr.,6-0,L,102,160,1.57
68,"Mark Frazier, Purdue Fort Wayne (MIVA)",Jr.,6-6,MB,98,153,1.56
68,"Aidan Knipe, Long Beach St. (Big West)",Sr.,6-3,S,98,153,1.56
70,"Yotam Briger, CUI (MPSF)",Fr.,6-2,S,85,132,1.55
71,"Cameron Chambers, Maryville (MO) (DI Independent)",Sr.,6-0,S,87,135,1.55
72,"Will Rottman, Stanford (MPSF)",Sr.,6-6,OH,74,114,1.54
73,"Chey Cooper, Fort Valley St. (SIAC)",Sr.,6-1,OH,78,120,1.54
74,"Alejandro Miranda, American Int'l (ECC)",So.,6-0,L/DS,67,103,1.54
75,"Cameron Lee, Maryville (MO) (DI Independent)",Jr.,6-1,OH,86,132,1.53
76,"Luke Deppe, Barton (Conference Carolinas)",Fr.,6-1,OH,75,114,1.52
77,"Nathan Flayter, McKendree (MIVA)",Fr.,6-4,S,70,106,1.51
78,"Troy McDonald, George Mason (EIVA)",Jr.,6-4,S,87,131,1.51
79,"Tread Rosenthal, Hawaii (Big West)",Fr.,6-8,S,101,152,1.50
80,"Owen Fanning, Harvard (EIVA)",Jr.,6-7,OH,80,120,1.50
80,"Jackson Fife, BYU (MPSF)",So.,6-0,L,74,111,1.50
82,"Jack Walmer, UC Santa Barbara (Big West)",Jr.,6-3,S,103,154,1.50
83,"Ryan Parker, Saint Francis (PA) (NEC)",Sr.,6-3,S,101,151,1.50
84,"Logan Keothavy, North Greenville (Conference Carolinas)",Fr.,6-0,OH,85,127,1.49
85,"Ethan Champlin, UCLA (MPSF)",Sr.,6-3,OH,112,167,1.49
86,"Zach Puentes, Belmont Abbey (Conference Carolinas)",So.,6-2,OH,94,140,1.49
87,"Jaxon Hicks, Fort Valley St. (SIAC)",Jr.,6-3,OPP,78,116,1.49
87,"Billy Wieberg, Daemen (NEC)",Jr.,6-4,OH,78,116,1.49
89,"Kevin  McGhee, Kentucky St. (SIAC)",Fr.,6-1,S,74,110,1.49
90,"Wilmer Hernandez, Purdue Fort Wayne (MIVA)",Sr.,6-3,OH,87,129,1.48
91,"Ryan Charles, Belmont Abbey (Conference Carolinas)",Jr.,6-1,OH,67,99,1.48
92,"Jackson Chadwell, North Greenville (Conference Carolinas)",So.,6-0,L,65,96,1.48
92,"Jack Sarnowski, LIU (NEC)",Sr.,6-3,S,65,96,1.48
94,"Aiden Olson, King (TN) (Conference Carolinas)",Fr.,6-2,S,63,93,1.48
95,"Monty Pereson, Kentucky St. (SIAC)",Jr.,5-5,OH,68,100,1.47
96,"Tyrone Sands, Central St. (OH) (SIAC)",Jr.,6-4,MH,115,168,1.46
97,"Hayden Frear, Mount Olive (Conference Carolinas)",Sr.,6-3,OH,86,125,1.45
98,"Daniel Leitao, Queens (NC) (MIVA)",Sr.,6-4,S,95,138,1.45
99,"Jordan Howard, Kentucky St. (SIAC)",Jr.,6-0,OH,74,107,1.45
100,"Jose Angarita, FDU (NEC)",Jr.,6-2,S,81,117,1.44
