Rank,Team,S,W-L,Digs,Per Set
1,McKendree (MIVA),97,17-7,"1,047",10.79
2,Erskine (Conference Carolinas),78,8-15,838,10.74
3,Barton (Conference Carolinas),89,15-11,930,10.45
4,Kentucky St. (SIAC),20,0-7,205,10.25
5,Mount Olive (Conference Carolinas),69,18-3,703,10.19
6,Edward Waters (SIAC),77,9-12,760,9.87
7,LIU (NEC),85,17-5,832,9.79
8,North Greenville (Conference Carolinas),79,10-11,773,9.78
9,Emmanuel (GA) (Conference Carolinas),89,4-22,867,9.74
10,Belmont Abbey (Conference Carolinas),75,14-8,721,9.61
11,Missouri S&T (DI Independent),78,10-13,743,9.53
12,Merrimack (DI Independent),67,13-6,635,9.48
13,Maryville (MO) (DI Independent),84,16-8,790,9.40
14,Lincoln Memorial (DI Independent),70,19-1,658,9.40
15,Lewis (MIVA),111,20-8,"1,029",9.27
16,St. Thomas Aquinas (ECC),75,13-9,690,9.20
17,Charleston (WV) (EIVA),91,11-14,837,9.20
18,Southern California (MPSF),79,19-3,726,9.19
19,Roberts Wesleyan (ECC),97,9-17,885,9.12
20,Rockhurst (DI Independent),100,18-10,912,9.12
21,King (TN) (Conference Carolinas),85,3-21,770,9.06
22,Thomas More (DI Independent),63,7-11,568,9.02
23,Catawba (DI Independent),77,12-10,692,8.99
24,Roosevelt  (DI Independent),75,5-16,667,8.89
25,Central St. (OH) (SIAC),76,6-16,665,8.75
26,Queens (NC) (MIVA),101,10-17,881,8.72
27,Benedict (SIAC),67,10-9,583,8.70
28,D'Youville (NEC),69,6-13,600,8.70
29,Tusculum (DI Independent),91,14-11,791,8.69
30,Fort Valley St. (SIAC),71,13-9,617,8.69
31,FDU (NEC),72,8-11,623,8.65
32,American Int'l (ECC),75,4-18,648,8.64
33,Quincy (MIVA),99,8-17,850,8.59
34,Grand Canyon (MPSF),88,15-9,753,8.56
35,Menlo (MPSF),74,9-12,631,8.53
36,Vanguard  (MPSF),85,8-15,720,8.47
37,Barry (DI Independent),85,10-13,713,8.39
38,BYU (MPSF),92,17-7,770,8.37
39,Loyola Chicago (MIVA),85,21-2,709,8.34
40,UC Irvine (Big West),74,16-6,613,8.28
41,Ohio St. (MIVA),92,14-10,761,8.27
42,CUI (MPSF),93,9-16,768,8.26
43,Pepperdine (MPSF),78,15-7,642,8.23
44,Ball St. (MIVA),110,17-11,902,8.20
45,UC San Diego (Big West),88,17-7,718,8.16
46,Dominican (NY) (ECC),92,6-20,750,8.15
47,Harvard (EIVA),68,9-10,553,8.13
48,Daemen (NEC),75,11-10,604,8.05
49,UC Santa Barbara (Big West),84,11-12,671,7.99
50,Princeton (EIVA),73,11-9,583,7.99
