Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Pct.
1,"Toby Ezeonu, Penn St. (EIVA)",Sr.,6-7,MB,112,259,50,427,0.489
2,"Matthew Gentry, Lincoln Memorial (DI Independent)",Sr.,6-7,MH,87,196,46,327,0.459
3,"Carson Williams, NJIT (EIVA)",Sr.,6-6,MB,92,183,45,316,0.437
4,"D'Aaron McCraney, McKendree (MIVA)",Jr.,6-8,MB,94,173,35,337,0.409
5,"Jacob Fischer, Maryville (MO) (DI Independent)",Sr.,6-6,MB,102,189,48,364,0.387
6,"Tymek Brzoza, D'Youville (NEC)",Jr.,6-5,MB,81,196,57,365,0.381
7,"Kellan Kennedy, King (TN) (Conference Carolinas)",Sr.,6-6,MB,80,144,41,271,0.380
8,"Hilir Henno, UC Irvine (Big West)",Jr.,6-8,OH,117,557,138,"1,124",0.373
9,"Parker Van Buren, Loyola Chicago (MIVA)",Jr.,6-9,OH,94,402,107,811,0.364
10,"Michael de la Cruz, North Greenville (Conference Carolinas)",Jr.,6-3,MB,84,185,51,370,0.362
11,"Matthew Motes, Merrimack (NEC)",Sr.,6-9,MB,85,181,47,380,0.353
12,"Cameron Milligan, Daemen (NEC)",Sr.,6-6,OPP,82,252,72,518,0.347
13,"John Kerr, Penn St. (EIVA)",Sr.,6-6,OPP,106,420,132,829,0.347
14,"Luke Benson, BYU (MPSF)",Jr.,6-7,OH,86,297,89,605,0.344
15,"Sotiris Siapanis, Long Beach St. (Big West)",Jr.,6-3,OH,97,308,83,658,0.342
16,"Maxim Grigoriev, UC Irvine (Big West)",So.,6-4,MB,117,256,80,519,0.339
17,"Ethan Champlin, UCLA (MPSF)",Sr.,6-3,OH,112,270,80,561,0.339
18,"Clarke Godbold, Long Beach St. (Big West)",Sr.,6-5,OPP,74,239,67,511,0.337
19,"Nathan Zini, Saint Francis (NEC)",Jr.,6-7,OPP,107,410,105,910,0.335
20,"Cooper Robinson, UCLA (MPSF)",Jr.,6-7,OH,95,250,82,506,0.332
