Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
1,"Geste Bianchi, UC Santa Barbara (Big West)",Jr.,6-6,OPP,97,468,4.82
2,"Hilir Henno, UC Irvine (Big West)",Jr.,6-8,OH,117,557,4.76
3,"Jamal Ellis Carballo, FDU (NEC)",So.,6-6,OPP,77,342,4.44
4,"Raje Alleyne, Quincy (MIVA)",Jr.,6-6,OPP,83,366,4.41
5,"Parker Van Buren, Loyola Chicago (MIVA)",Jr.,6-9,OH,94,402,4.28
6,"Patrick Mucherino, Sacred Heart (NEC)",Sr.,6-5,OH,108,461,4.27
7,"Tinaishe Ndavazocheva, Ball St. (MIVA)",Jr.,6-6,OH,81,327,4.04
8,"John Kerr, Penn St. (EIVA)",Sr.,6-6,OPP,106,420,3.96
9,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,83,320,3.86
10,"Mark Frazier, Purdue Fort Wayne (MIVA)",Jr.,6-6,MB,98,377,3.85
11,"Nathan Zini, Saint Francis (NEC)",Jr.,6-7,OPP,107,410,3.83
12,"Ben Harrington, Princeton (EIVA)",Sr.,6-4,,91,342,3.76
13,"Jon Diedrich, Purdue Fort Wayne (MIVA)",Sr.,6-6,OPP,99,370,3.74
14,"Logan Whitaker, Merrimack (NEC)",So.,6-4,OH,87,324,3.72
15,"Will Rottman, Stanford (MPSF)",Sr.,6-6,OH,74,275,3.72
16,"Edgerrin Austin, Erskine (Conference Carolinas)",Sr.,5-11,OH,72,267,3.71
17,"Kyle Hobus, CSUN (Big West)",Sr.,6-8,OH,110,406,3.69
18,"Garret Schnitker, Charleston (WV) (EIVA)",Sr.,6-6,RS,97,358,3.69
19,"Eli Zdonek, Emmanuel (GA) (Conference Carolinas)",Sr.,6-0,OH,100,367,3.67
20,"Max Roquet, Lewis (MIVA)",Jr.,6-8,OH,112,406,3.63
21,"Pablo Zamar, Erskine (Conference Carolinas)",Jr.,6-4,OH,69,246,3.57
22,"Jacob Pasteur, Ohio St. (MIVA)",Sr.,6-4,OH,110,390,3.55
23,"Camden Gianni, Grand Canyon (MPSF)",Sr.,6-5,OPP,104,368,3.54
24,"Warren Davis, King (TN) (Conference Carolinas)",Sr.,6-0,OH,82,290,3.54
25,"Cole Ketrzynski, Pepperdine (MPSF)",Sr.,6-8,OPP,94,332,3.53
26,"Nyherowo Omene, Princeton (EIVA)",Jr.,6-7,,89,311,3.49
