Rank,Team,W,L,Pct.
1,Long Beach St. (Big West),27,3,0.900
2,Grand Canyon (MPSF),26,5,0.839
2,UCLA (MPSF),26,5,0.839
4,Belmont Abbey (Conference Carolinas),21,5,0.808
4,Lincoln Memorial (DI Independent),21,5,0.808
6,Daemen (NEC),20,6,0.769
7,Hawaii (Big West),23,7,0.767
7,Penn St. (EIVA),23,7,0.767
9,Maryville (MO) (DI Independent),21,8,0.724
10,Ohio St. (MIVA),22,9,0.710
11,Saint Francis (PA) (NEC),21,9,0.700
12,Ball St. (MIVA),21,10,0.677
13,Loyola Chicago (MIVA),19,10,0.655
14,Fort Valley St. (SIAC),17,9,0.654
15,UC Irvine (Big West),20,11,0.645
16,George Mason (EIVA),18,10,0.643
17,BYU (MPSF),16,9,0.640
18,Mount Olive (Conference Carolinas),17,10,0.630
19,North Greenville (Conference Carolinas),15,9,0.625
20,Pepperdine (MPSF),17,11,0.607
21,Lindenwood (MIVA),16,12,0.571
22,Erskine (Conference Carolinas),13,11,0.542
23,McKendree (MIVA),14,12,0.538
23,Purdue Fort Wayne (MIVA),14,12,0.538
23,Stanford (MPSF),14,12,0.538
26,LIU (NEC),14,13,0.519
27,Lewis (MIVA),15,15,0.500
27,Princeton (EIVA),12,12,0.500
29,Barton (Conference Carolinas),12,13,0.480
29,Dominican (NY) (ECC),12,13,0.480
29,Harvard (EIVA),12,13,0.480
32,Southern California (MPSF),13,15,0.464
33,Missouri S&T (DI Independent),10,12,0.455
33,St. Thomas Aquinas (ECC),10,12,0.455
35,CSUN (Big West),13,16,0.448
35,Charleston (WV) (EIVA),13,16,0.448
37,FDU (NEC),12,15,0.444
37,UC San Diego (Big West),12,15,0.444
39,D'Youville (NEC),10,13,0.435
40,NJIT (EIVA),11,15,0.423
41,Sacred Heart (NEC),12,20,0.375
42,Merrimack (NEC),9,16,0.360
43,UC Santa Barbara (Big West),9,18,0.333
43,Roberts Wesleyan (ECC),8,16,0.333
45,Emmanuel (GA) (Conference Carolinas),9,19,0.321
46,Queens (NC) (MIVA),9,21,0.300
47,Kentucky St. (SIAC),6,17,0.261
48,Tusculum (DI Independent),8,23,0.258
49,Central St. (OH) (SIAC),9,27,0.250
49,King (TN) (Conference Carolinas),7,21,0.250
