Rank,Player,Cl,Ht,Pos,S,Kills,Aces,Block Solos,Block Assists,Pts,Per Set
1,"Deklan Wingo, Tusculum (DI Independent)",Sr.,6-4,OH,90,441,32,22,19,0,5.61
2,"Hilir Henno, UC Irvine (Big West)",Sr.,6-8,OH,74,321,55,4,32,0,5.35
3,"Parker Van Buren, Loyola Chicago (MIVA)",Sr.,6-9,OH,79,335,37,4,48,0,5.06
4,"Gabriel Vieira, St. Thomas Aquinas (ECC)",So.,6-9,OH,68,297,13,9,49,0,5.05
5,"Nyherowo Omene, Princeton (EIVA)",Sr.,6-7,OH,69,284,33,8,47,0,5.05
6,"Kristian Titriyski, Hawaii (Big West)",Fr.,6-5,OPP,76,322,34,7,41,0,5.05
7,"Logan Muir, Purdue Fort Wayne (MIVA)",So.,6-5,OPP,83,344,39,11,40,0,4.99
8,"Jalen Phillips, CSUN (Big West)",So.,6-6,OPP,85,348,26,4,47,0,4.72
9,"Andrew Deardorff, Saint Francis (NEC)",Sr.,6-5,OH,79,309,47,2,25,0,4.69
10,"Dillon Klein, Southern California (MPSF)",Jr.,6-6,OH,67,274,13,5,41,0,4.66
11,"Trevor Phillips, Catawba (DI Independent)",Sr.,6-6,OH,77,315,31,3,20,0,4.66
12,"Luke Kraft, Maryville (MO) (DI Independent)",So.,6-5,OPP,74,269,50,5,38,0,4.64
13,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,59,227,23,7,29,0,4.60
14,"Theo Snoey, Stanford (MPSF)",Jr.,6-8,OPP,66,263,25,1,27,0,4.58
15,"Cole Hartke, Pepperdine (MPSF)",Fr.,0-0,OH,64,244,29,2,34,0,4.56
16,"Oguzhan Oguz, Lewis (MIVA)",So.,6-8,OPP,97,389,24,6,47,0,4.56
17,"Isaiah Fedd, Fort Valley St. (SIAC)",Jr.,6-3,OH,64,242,30,3,21,0,4.46
18,"Aleksandar Sosa, Quincy (MIVA)",So.,6-7,OPP,92,331,37,13,54,0,4.43
19,"Shane Wetzel, Ohio St. (MIVA)",Jr.,6-7,OPP,89,325,44,3,31,0,4.35
20,"Lucas Tran, Rockhurst (DI Independent)",Fr.,6-6,OPP,71,270,21,10,16,0,4.35
21,"Richard Hendricks, Edward Waters (SIAC)",Jr.,5-10,OH,77,292,25,8,18,0,4.34
22,"Anthony Cherfan, UC San Diego (Big West)",Sr.,6-6,OPP,81,294,27,4,49,0,4.31
23,"Cooper Robinson, UCLA (MPSF)",Sr.,6-7,OH,72,254,28,2,44,0,4.25
24,"Keoni Thiim, BYU (MPSF)",Sr.,6-0,OH,75,265,37,1,30,0,4.24
25,"Kory Grant, Mount Olive (Conference Carolinas)",Jr.,6-3,OH,65,240,18,7,20,0,4.23
26,"Mustafa Selçuk Uyar, Menlo (MPSF)",Sr.,6-8,OPP,72,254,21,8,40,0,4.21
27,"Ryan Barnett, Pepperdine (MPSF)",Jr.,6-5,OH,74,257,33,4,34,0,4.20
28,"Nolan Flexen, UC Irvine (Big West)",Jr.,6-9,OH,74,254,19,4,59,0,4.14
29,"Moses Wagner, Stanford (MPSF)",Jr.,6-6,OPP,73,242,20,6,52,0,4.03
30,"Eli Zdonek, Catawba (DI Independent)",Sr.,6-0,OH,77,266,19,7,36,0,4.03
31,"Logan Whitaker, Merrimack (DI Independent)",Jr.,6-4,OH,59,190,26,4,35,0,4.03
32,"Raje Alleyne, Ball St. (MIVA)",Sr.,6-6,OPP,77,266,19,5,39,0,4.02
33,"Zach Puentes, Belmont Abbey (Conference Carolinas)",So.,6-2,OH,67,225,11,10,39,0,3.96
34,"Christopher Knowles, LIU (NEC)",Jr.,6-7,OH,59,195,18,1,39,0,3.96
35,"Luke Benson, BYU (MPSF)",Sr.,6-7,OH,79,264,19,4,50,0,3.95
36,"Daniel Fabikovic, Loyola Chicago (MIVA)",So.,6-6,OH,85,285,19,8,46,0,3.94
37,"Max Roquet, Lewis (MIVA)",Sr.,6-8,OH,104,335,32,7,65,0,3.91
38,"Will Kuhns, Penn St. (EIVA)",Sr.,6-3,OH,74,245,28,2,28,0,3.91
39,"Stanislaw Chacinski, Ohio St. (MIVA)",Fr.,6-7,OH,91,292,37,0,45,0,3.86
