Rank,Player,Cl,Ht,Pos,S,Aces,Per Set
1,"Alex Nikolov, Long Beach St. (Big West)",Fr.,6-7,OH,3,4,1.333
2,"Emanuel Adames, North Greenville (Conference Carolinas)",So.,6-6,MB,4,4,1.000
3,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Jr.,6-2,OH,7,6,0.857
4,"Jacob Pasteur, Ohio St. (MIVA)",So.,6-4,OH,9,7,0.778
5,"Bryce Behrendt, Ball St. (MIVA)",Jr.,6-4,OH,6,4,0.667
5,"Clarke Godbold, Long Beach St. (Big West)",So.,6-5,OH,3,2,0.667
5,"Bradley Peters, Lees-McRae (Conference Carolinas)",Jr.,6-2,S,3,2,0.667
5,"Bryce Walker, Purdue Fort Wayne (MIVA)",So.,6-8,MB,6,4,0.667
9,"Daniel Beacham, Emmanuel (GA) (Conference Carolinas)",Fr.,6-4,OH,5,3,0.600
10,"Ryan Ka, UC San Diego (Big West)",Jr.,6-3,OH,7,4,0.571
10,"Luke Lentin, Ohio St. (MIVA)",Sr.,6-3,S,7,4,0.571
12,"Connor Sheehan, Lindenwood (MIVA)",So.,6-0,S,9,5,0.556
13,"Samuel Clark, Ohio St. (MIVA)",Jr.,6-6,MB,8,4,0.500
13,"Jordan Cooper, LIU (DI Independent)",Jr.,6-3,OH,8,4,0.500
13,"Simon Gallas, Southern California (MPSF)",So.,6-8,OPP,14,7,0.500
13,"Omar Hoyos, George Mason (EIVA)",So.,6-6,OH,8,4,0.500
13,"Diego Rosich, North Greenville (Conference Carolinas)",So.,6-5,OH,4,2,0.500
18,"Sam Kobrine, Southern California (MPSF)",Sr.,6-3,OH,13,6,0.462
19,"Haotian Xia, UC Santa Barbara (Big West)",Jr.,6-5,OPP,11,5,0.455
20,"Eddy Alexandre, LIU (DI Independent)",So.,6-4,MB,9,4,0.444
21,"Blake Crisp, UC San Diego (Big West)",Sr.,6-3,S,7,3,0.429
21,"Hugo Fischer, Grand Canyon (MPSF)",Sr.,6-8,OPP,14,6,0.429
21,"Camden Gianni, Grand Canyon (MPSF)",So.,6-5,OH,14,6,0.429
21,"Shaun Kampshoff, Tusculum (DI Independent)",Sr.,6-3,S,7,3,0.429
21,"Kyle McCauley, UC San Diego (Big West)",Sr.,6-4,OH,7,3,0.429
26,"Tobi Azeez, Mount Olive (Conference Carolinas)",Jr.,6-4,OH,5,2,0.400
26,"Luke Benson, BYU (MPSF)",Fr.,6-7,OH,5,2,0.400
26,"Harrison Coelho, Emmanuel (GA) (Conference Carolinas)",Jr.,6-1,MB,5,2,0.400
26,"Dominic Hagerty, Mount Olive (Conference Carolinas)",So.,6-3,S,5,2,0.400
26,"Nick Martinski, Ball St. (MIVA)",Sr.,6-7,OH,5,2,0.400
26,"Carlos Mercado, Purdue Fort Wayne (MIVA)",Jr.,6-5,OPP,5,2,0.400
26,"Eli Zdonek, Emmanuel (GA) (Conference Carolinas)",So.,6-0,S,5,2,0.400
33,"Jack Bolz, George Mason (EIVA)",So.,6-7,OPP,8,3,0.375
33,"Jens Feldthus, NJIT (EIVA)",Sr.,6-3,,8,3,0.375
33,"Colin Heath, George Mason (EIVA)",So.,6-6,OH,8,3,0.375
33,"Julian Meissner, NJIT (EIVA)",Jr.,6-7,,8,3,0.375
37,"Lucas Frassrand, Southern California (MPSF)",Jr.,6-6,MB,14,5,0.357
