Rank,Team,S,W-L,Aces,Per Set
1,Stanford (MPSF),6,2-0,21,3.50
2,Ohio St. (MIVA),7,2-0,20,2.86
2,UCLA (MPSF),7,2-0,20,2.86
4,Purdue Fort Wayne (MIVA),6,2-0,14,2.33
5,George Mason (EIVA),7,2-0,16,2.29
6,Long Beach St. (Big West),9,3-0,19,2.11
7,CSUN (Big West),14,2-1,29,2.07
8,Pepperdine (MPSF),7,2-0,14,2.00
8,Lewis (MIVA),7,1-1,14,2.00
10,Ball St. (MIVA),8,2-0,14,1.75
11,CUI (MPSF),10,0-3,13,1.30
12,UC San Diego (Big West),7,0-2,9,1.29
13,UC Santa Barbara (Big West),11,3-0,14,1.27
14,Barton (Conference Carolinas),4,0-1,5,1.25
15,Grand Canyon (MPSF),11,1-2,13,1.18
16,Harvard (EIVA),13,0-3,14,1.08
17,NJIT (Independent),8,0-2,8,1.00
17,UC Irvine (Big West),9,2-0,9,1.00
17,Penn St. (EIVA),4,0-1,4,1.00
20,Loyola Chicago (MIVA),8,1-1,7,0.88
21,Princeton (EIVA),13,0-4,10,0.77
22,Charleston (WV) (EIVA),3,0-1,2,0.67
23,North Greenville (Conference Carolinas),6,0-2,3,0.50
