Rank,Team,S,W-L,Assists,Per Set
1,UC Irvine (Big West),7,2-0,99,14.14
2,Emmanuel (GA) (Conference Carolinas),4,1-0,55,13.75
3,LIU (NEC),3,1-0,38,12.67
3,Pepperdine (MPSF),3,1-0,38,12.67
5,Penn St. (EIVA),8,2-0,100,12.50
6,McKendree (MIVA),10,1-2,119,11.90
7,CUI (MPSF),3,1-0,35,11.67
8,Lewis (MIVA),11,1-2,128,11.64
9,Daemen (NEC),4,1-0,46,11.50
10,Lindenwood (MIVA),7,0-2,80,11.43
11,BYU (MPSF),7,2-0,79,11.29
12,Stanford (MPSF),9,2-0,100,11.11
13,Ohio St. (MIVA),7,1-1,77,11.00
14,Grand Canyon (MPSF),7,2-0,75,10.71
15,Erskine (Conference Carolinas),3,1-0,32,10.67
16,St. Francis Brooklyn (NEC),9,3-0,94,10.44
17,NJIT (EIVA),7,1-1,73,10.43
18,Southern California (MPSF),12,2-1,125,10.42
18,UC Santa Barbara (Big West),12,1-2,125,10.42
20,Loyola Chicago (MIVA),3,1-0,31,10.33
21,Lincoln Memorial (DI Independent),16,1-3,163,10.19
22,UCLA (MPSF),9,3-0,91,10.11
23,Princeton (EIVA),7,1-1,70,10.00
24,Saint Francis (NEC),9,0-2,89,9.89
25,CSUN (Big West),9,1-2,88,9.78
26,UC San Diego (Big West),13,1-2,127,9.77
27,FDU (NEC),4,1-0,39,9.75
28,Purdue Fort Wayne (MIVA),6,1-1,56,9.33
29,Tusculum (DI Independent),7,0-2,65,9.29
30,Belmont Abbey (Conference Carolinas),13,1-3,116,8.92
31,King (TN) (Conference Carolinas),3,0-1,26,8.67
32,Central St. (OH) (SIAC),7,0-2,56,8.00
33,American Int'l (DI Independent),6,0-2,43,7.17
