Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
1,"Joel Schneidmiller, UC Irvine (Big West)",So.,6-6,,9,41,18,86,9.56
2,"Calvin Mende, Penn St. (EIVA)",Jr.,6-11,,4,18,5,37,9.25
3,"Parker Dixon, Princeton (EIVA)",Jr.,6-6,,13,52,18,119,9.15
4,"Jake Hanes, Ohio St. (MIVA)",So.,6-10,,7,37,7,64,9.14
5,"Pelegrin Vargas, Purdue Fort Wayne (MIVA)",Jr.,6-4,,6,28,6,53,8.83
6,"Collin Mahan, Loyola Chicago (MIVA)",Sr.,6-5,,7,21,4,59,8.43
7,"Jordan Hoppe, CUI (MPSF)",Jr.,0-0,,10,30,12,83,8.30
8,"Christian Janke, Grand Canyon (MPSF)",Fr.,6-5,,11,40,21,91,8.27
8,"Ksawery Tomsia, CSUN (Big West)",Jr.,6-7,,11,36,21,91,8.27
10,"Alvaro Gimeno, NJIT (Independent)",So.,6-7,,8,17,17,66,8.25
11,"Corey Chavers, UC Santa Barbara (Big West)",Sr.,6-6,,11,42,6,87,7.91
12,"Ryan Coenen, Lewis (MIVA)",Jr.,6-9,,6,18,11,47,7.83
13,"Kyle Ensing, Long Beach St. (Big West)",Sr.,6-7,,9,42,11,69,7.67
13,"Tony Price, Purdue Fort Wayne (MIVA)",Sr.,6-4,,6,15,7,46,7.67
15,"Dimitar Kalchev, CSUN (Big West)",Sr.,6-4,,14,49,22,105,7.50
15,"Matt Szews, Ball St. (MIVA)",Jr.,6-8,,8,23,11,60,7.50
17,"Hayden Wagner, George Mason (EIVA)",Jr.,6-6,,7,24,11,52,7.43
18,"Aaron Campbell, North Greenville (Conference Carolinas)",Sr.,6-6,,6,10,6,44,7.33
19,"Matthew McLaren, Penn St. (EIVA)",Sr.,6-4,,4,11,4,29,7.25
20,"Brandon Rattray, UCLA (MPSF)",Jr.,6-5,,7,28,14,47,6.71
21,"Nic Cavallaro, Queens (NC) (DI Independent)",So.,6-3,,3,4,9,20,6.67
22,"Raymond Barsemian, CUI (MPSF)",Jr.,6-6,,10,23,17,66,6.60
23,"Michael Wexter, Pepperdine (MPSF)",Sr.,6-6,,7,24,3,45,6.43
24,"Jackson Gilbert, North Greenville (Conference Carolinas)",Jr.,6-6,,6,16,8,38,6.33
24,"Julian Moses, Lewis (MIVA)",Sr.,6-4,,6,12,14,38,6.33
24,"Lee Smith, Penn St. (EIVA)",Sr.,6-6,,3,8,1,19,6.33
27,"Dylan Missry, UCLA (MPSF)",Sr.,6-4,,7,23,1,44,6.29
28,"George Huhmann, Princeton (EIVA)",Jr.,6-11,,13,40,14,81,6.23
29,"Kaleb Denmark, Pepperdine (MPSF)",Sr.,6-4,,7,20,8,43,6.14
29,"Will Tischler, Loyola Chicago (MIVA)",Sr.,6-7,,7,20,8,43,6.14
31,"TJ DeFalco, Long Beach St. (Big West)",Sr.,6-4,,9,26,14,55,6.11
32,"Wyatt Harrison, UC San Diego (Big West)",So.,6-4,,5,9,7,30,6.00
32,"Tristan Santoyo, Queens (NC) (DI Independent)",So.,6-3,,3,2,7,18,6.00
32,"David Wieczorek, Pepperdine (MPSF)",Sr.,6-8,,7,23,5,42,6.00
35,"Karl Apfelbach, UC Irvine (Big West)",Sr.,6-8,,9,20,9,53,5.89
35,"Aaron Koubi, UC Irvine (Big West)",Sr.,6-5,,9,25,8,53,5.89
37,"Maarten Bartels, Charleston (WV) (EIVA)",So.,6-4,,3,8,1,17,5.67
38,"David Siebum, Ball St. (MIVA)",Sr.,6-4,,8,20,4,45,5.63
39,"Brandon Baker, North Greenville (Conference Carolinas)",So.,6-6,,5,10,7,28,5.60
40,"Luke Denton, Loyola Chicago (MIVA)",Fr.,6-6,,7,14,8,39,5.57
40,"Kaleb Jenness, Ball St. (MIVA)",Fr.,6-6,,7,22,9,39,5.57
42,"Colton Stone, Purdue Fort Wayne (MIVA)",Sr.,6-5,,6,12,5,33,5.50
43,"Griffin Schmit, Harvard (EIVA)",So.,6-5,,13,25,12,71,5.46
44,"Will Schwob, Grand Canyon (MPSF)",Sr.,6-4,,9,17,11,49,5.44
45,"Reese Devilbiss, Ohio St. (MIVA)",Jr.,6-2,,7,19,3,37,5.29
46,"Angelos Mandilaris, Barton (Conference Carolinas)",Jr.,6-5,,4,9,7,21,5.25
47,"Collin Shannon, UC San Diego (Big West)",So.,6-7,,5,8,9,26,5.20
48,"Erik Johnsson, Harvard (EIVA)",Jr.,6-4,,13,22,12,65,5.00
48,"Vasilis Mandilaris, Barton (Conference Carolinas)",Sr.,6-5,,4,10,2,20,5.00
50,"Xander Jimenez, UC San Diego (Big West)",Jr.,6-4,,7,13,10,34,4.86
51,"Greg Luck, Princeton (EIVA)",Jr.,6-5,,13,22,13,63,4.85
52,"Adrian Iglesias, Barton (Conference Carolinas)",Fr.,6-5,,4,9,5,19,4.75
53,"Sam Greenslade, George Mason (EIVA)",Jr.,6-7,,7,15,5,33,4.71
53,"Maciej Ptaszynski, CSUN (Big West)",So.,6-6,,14,28,11,66,4.71
55,"Richie Diedrich, Purdue Fort Wayne (MIVA)",Jr.,6-9,,6,14,4,28,4.67
55,"Max Senica, Charleston (WV) (EIVA)",So.,6-2,,3,2,5,14,4.67
57,"Eric Beatty, Stanford (MPSF)",Jr.,6-7,,5,9,7,23,4.60
58,"Martin Lallemand, Ohio St. (MIVA)",So.,6-4,,7,14,5,32,4.57
59,"Brandon Greenway, Charleston (WV) (EIVA)",Sr.,6-4,,3,4,4,13,4.33
59,"Jaylen Jasper, Stanford (MPSF)",So.,6-7,,6,19,2,26,4.33
59,"TJ Murray, Lewis (MIVA)",So.,6-9,,6,18,2,26,4.33
62,"Campbell Schoenfeld, Harvard (EIVA)",Fr.,6-8,,13,25,10,56,4.31
63,"Tyler Mitchem, Lewis (MIVA)",So.,6-10,,7,18,2,30,4.29
64,"Jens Feldhus, NJIT (Independent)",Fr.,6-3,,8,9,9,34,4.25
65,"Jack Burton, Grand Canyon (MPSF)",Jr.,6-4,,10,14,7,41,4.10
66,"Owen Chun, CUI (MPSF)",So.,0-0,,7,9,8,27,3.86
67,"Hunter Howell, CUI (MPSF)",Sr.,6-7,,10,18,4,37,3.70
68,"Jordan Ewert, Stanford (MPSF)",Sr.,6-4,,6,13,3,22,3.67
69,"Blake Leeson, Ohio St. (MIVA)",Sr.,6-7,,7,16,1,25,3.57
70,"Daniel Wetter, CSUN (Big West)",Fr.,6-5,,14,29,9,49,3.50
71,"Daenan Gyimah, UCLA (MPSF)",Jr.,6-8,,7,14,5,24,3.43
72,"Ryan Hong, Harvard (EIVA)",Fr.,6-2,,13,18,8,44,3.38
73,"Kyle Piekarski, Loyola Chicago (MIVA)",Jr.,6-8,,8,18,3,27,3.38
73,"Louis Richard, Long Beach St. (Big West)",Sr.,6-3,,8,13,2,27,3.38
75,"Simon Andersen, Long Beach St. (Big West)",So.,6-8,,9,22,2,30,3.33
75,"Tomas Gago, Purdue Fort Wayne (MIVA)",So.,6-8,,6,15,2,20,3.33
75,"Ben Hamsho, North Greenville (Conference Carolinas)",Jr.,6-7,,6,8,6,20,3.33
78,"Max Chamberlain, Pepperdine (MPSF)",Sr.,6-6,,7,12,2,23,3.29
78,"Langston Payne, George Mason (EIVA)",Sr.,6-5,,7,17,2,23,3.29
80,"Paul Narup, Loyola Chicago (MIVA)",Sr.,6-7,,7,15,0,22,3.14
81,"Jason Donorovich, Penn St. (EIVA)",Jr.,6-9,,4,7,1,12,3.00
81,"Austin Matautia, UCLA (MPSF)",Jr.,6-4,,7,9,4,21,3.00
81,"Vlad Pesic, UC San Diego (Big West)",So.,6-8,,5,7,0,15,3.00
81,"Austin Wilmot, UC Irvine (Big West)",So.,6-9,,9,13,3,27,3.00
85,"Alex Shmelev, Grand Canyon (MPSF)",Sr.,6-6,,11,13,6,32,2.91
86,"Stephen Moye, Stanford (MPSF)",Jr.,6-9,,5,11,0,14,2.80
87,"Luca Berger, NJIT (Independent)",Jr.,6-10,,8,12,2,22,2.75
87,"Jack Truman, UC Santa Barbara (Big West)",Fr.,6-11,,8,13,3,22,2.75
89,"JP Payne, Queens (NC) (DI Independent)",So.,6-4,,3,1,3,8,2.67
89,"Adriel Roberts, Charleston (WV) (EIVA)",Jr.,6-6,,3,5,1,8,2.67
89,"Keenan Sanders, UC Santa Barbara (Big West)",Jr.,6-7,,9,15,6,24,2.67
92,"Alexandre Nsakanda, UC Irvine (Big West)",Fr.,6-4,,7,4,7,18,2.57
93,"Jack Reese, George Mason (EIVA)",So.,6-8,,6,9,2,15,2.50
94,"Scott Stadick, UC Irvine (Big West)",Jr.,7-0,,9,8,3,22,2.44
95,"Shane Benetz, UC San Diego (Big West)",Fr.,6-6,,5,8,2,12,2.40
96,"Trevor Dow, Harvard (EIVA)",Sr.,6-10,,13,16,4,31,2.38
97,"Parker Swartz, Ball St. (MIVA)",Sr.,6-5,,8,13,2,19,2.38
97,"Enrique de Diego Garcia, NJIT (Independent)",Sr.,6-5,,8,11,1,19,2.38
99,"Kevin Vaz, Pepperdine (MPSF)",Sr.,6-6,,7,8,2,16,2.29
100,"Berkeley Miesfeld, UC San Diego (Big West)",Fr.,6-4,,5,5,2,11,2.20
