Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
1,"Michael de la Cruz, North Greenville (Conference Carolinas)",Fr.,6-3,MB,3,1,4,5,1.667
2,"Oliver Merritt, Mount Olive (Conference Carolinas)",Fr.,6-7,S,5,4,3,7,1.400
2,"Eric Visgitis, Mount Olive (Conference Carolinas)",Sr.,6-5,MB,5,2,5,7,1.400
4,"Josh Coan, Princeton (EIVA)",So.,6-8,,5,4,2,6,1.200
5,"Cody Johnson, Purdue Fort Wayne (MIVA)",Sr.,6-7,MB,6,1,6,7,1.167
6,"Shane Benetz, UC San Diego (Big West)",Sr.,6-6,MB,7,1,7,8,1.143
6,"Logan Clark, UC San Diego (Big West)",Sr.,6-7,MB,7,1,7,8,1.143
8,"Jacob Gall, McKendree (MIVA)",Jr.,6-6,MB,8,2,7,9,1.125
9,"Brandon Baker, North Greenville (Conference Carolinas)",Sr.,6-6,OH,4,0,4,4,1.000
9,"Martin De Chavarria, NJIT (EIVA)",Jr.,6-7,,8,2,6,8,1.000
9,"Max Kuntz, Lees-McRae (Conference Carolinas)",Sr.,6-4,OH,3,2,1,3,1.000
9,"Jacob Pasteur, Ohio St. (MIVA)",So.,6-4,OH,9,2,7,9,1.000
9,"Bryce Walker, Purdue Fort Wayne (MIVA)",So.,6-8,MB,6,0,6,6,1.000
14,"Liam Schroeder, Southern California (MPSF)",Sr.,6-8,MB,14,3,10,13,0.929
15,"Thomas Leahey, Saint Francis (EIVA)",So.,6-9,,11,1,9,10,0.909
16,"Troy Culp, Grand Canyon (MPSF)",Jr.,6-4,MB,10,0,9,9,0.900
17,"Justin Howard, Ohio St. (MIVA)",So.,6-6,MB,9,0,8,8,0.889
18,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,OH,8,1,6,7,0.875
19,"Kyle Ferguson, Belmont Abbey (Conference Carolinas)",Sr.,6-5,MB,7,1,5,6,0.857
19,"Brian Knoerr, Belmont Abbey (Conference Carolinas)",Fr.,6-5,OPP,7,0,6,6,0.857
19,"Charlie Siragusa, UC San Diego (Big West)",Sr.,6-9,OH,7,0,6,6,0.857
22,"Sean Califf, Purdue Fort Wayne (MIVA)",Jr.,6-4,S,6,0,5,5,0.833
23,"Ethan Smith, Harvard (EIVA)",So.,6-7,MB,10,1,7,8,0.800
24,"Alex Pappas, Lindenwood (MIVA)",Sr.,6-7,MB,9,2,5,7,0.778
24,"Cole Young, Ohio St. (MIVA)",Fr.,6-10,MB,9,2,5,7,0.778
26,"Emanuel Adames, North Greenville (Conference Carolinas)",So.,6-6,MB,4,2,1,3,0.750
26,"Lucas Little, George Mason (EIVA)",Fr.,6-6,MB,8,1,5,6,0.750
26,"Riley Mulkey, Belmont Abbey (Conference Carolinas)",Sr.,6-5,MB,8,0,6,6,0.750
29,"Lucas Frassrand, Southern California (MPSF)",Jr.,6-6,MB,14,1,9,10,0.714
29,"Ryan Ka, UC San Diego (Big West)",Jr.,6-3,OH,7,0,5,5,0.714
31,"James Bardin, Harvard (EIVA)",Fr.,6-7,S,10,1,6,7,0.700
32,"Colin Lovejoy, Grand Canyon (MPSF)",So.,6-8,MB,13,3,6,9,0.692
33,"Eddy Alexandre, LIU (DI Independent)",So.,6-4,MB,9,1,5,6,0.667
33,"Kade Bontrager, Purdue Fort Wayne (MIVA)",Sr.,6-0,OH,6,0,4,4,0.667
33,"Sebastian Heer, Lees-McRae (Conference Carolinas)",Fr.,6-3,MB,3,0,2,2,0.667
33,"Aidan Knipe, Long Beach St. (Big West)",So.,6-3,S,3,1,1,2,0.667
33,"Grant Marocchi, Long Beach St. (Big West)",Jr.,6-7,MB,3,0,2,2,0.667
38,"Jack Bolz, George Mason (EIVA)",So.,6-7,OPP,8,1,4,5,0.625
38,"Ethan McCrary, Harvard (EIVA)",So.,6-9,MB,8,0,5,5,0.625
38,"Julian Meissner, NJIT (EIVA)",Jr.,6-7,,8,0,5,5,0.625
38,"Phil Swartz, Lindenwood (MIVA)",Sr.,6-7,OH,8,0,5,5,0.625
42,"Luke Benson, BYU (MPSF)",Fr.,6-7,OH,5,0,3,3,0.600
42,"Harrison Coelho, Emmanuel (GA) (Conference Carolinas)",Jr.,6-1,MB,5,0,3,3,0.600
42,"Justin Gregory, Mount Olive (Conference Carolinas)",So.,6-6,RS,5,2,1,3,0.600
42,"Gavin Julien, BYU (MPSF)",Jr.,6-8,MB,5,0,3,3,0.600
46,"Brandon Hicks, UC Santa Barbara (Big West)",Jr.,6-4,MB,12,1,6,7,0.583
47,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Jr.,6-2,OH,7,0,4,4,0.571
47,"Karter Rogers, Grand Canyon (MPSF)",So.,6-5,OH,14,1,7,8,0.571
47,"Deklan Wingo, Tusculum (DI Independent)",Fr.,6-4,OH,7,2,2,4,0.571
50,"Joshua Blair, Saint Francis (EIVA)",Sr.,6-5,,9,0,5,5,0.556
51,"Edgerrin Austin, Erskine (Conference Carolinas)",So.,5-11,OH,10,0,5,5,0.500
51,"Samuel Clark, Ohio St. (MIVA)",Jr.,6-6,MB,8,0,4,4,0.500
51,"Kasey Clouet, LIU (DI Independent)",Fr.,6-6,S,8,2,2,4,0.500
51,"Hugo Fischer, Grand Canyon (MPSF)",Sr.,6-8,OPP,14,0,7,7,0.500
51,"Heath Hughes, Grand Canyon (MPSF)",Jr.,6-7,S,14,4,3,7,0.500
51,"AJ Lewis, Lindenwood (MIVA)",Jr.,6-5,OH,8,0,4,4,0.500
51,"Branden Oberender, BYU (MPSF)",Sr.,6-7,MB,6,1,2,3,0.500
51,"Carson Williams, NJIT (EIVA)",Jr.,6-6,,8,0,4,4,0.500
59,"Sage Gatling, LIU (DI Independent)",Fr.,6-5,MB,9,0,4,4,0.444
59,"Connor Sheehan, Lindenwood (MIVA)",So.,6-0,S,9,0,4,4,0.444
61,"Blake Crisp, UC San Diego (Big West)",Sr.,6-3,S,7,0,3,3,0.429
61,"Griffin Fieseler, NJIT (EIVA)",So.,6-7,S,7,0,3,3,0.429
61,"Jon Fuller, Erskine (Conference Carolinas)",So.,6-3,MB,14,1,5,6,0.429
61,"Simon Gallas, Southern California (MPSF)",So.,6-8,OPP,14,0,6,6,0.429
61,"Kyle McCauley, UC San Diego (Big West)",Sr.,6-4,OH,7,1,2,3,0.429
66,"Tobi Azeez, Mount Olive (Conference Carolinas)",Jr.,6-4,OH,5,1,1,2,0.400
66,"Daniel Beacham, Emmanuel (GA) (Conference Carolinas)",Fr.,6-4,OH,5,0,2,2,0.400
66,"Vanis Buckholz, Ball St. (MIVA)",Fr.,6-6,MB,5,0,2,2,0.400
66,"Sam Collins, UC Santa Barbara (Big West)",So.,6-2,OH,10,0,4,4,0.400
66,"Ben Harrington, Princeton (EIVA)",So.,6-4,,5,1,1,2,0.400
66,"Campbell Schoenfeld, Harvard (EIVA)",Sr.,6-8,OH,10,0,4,4,0.400
66,"Jayden Young, Emmanuel (GA) (Conference Carolinas)",Jr.,6-2,OH,5,0,2,2,0.400
73,"Alessandro Negri, NJIT (EIVA)",Fr.,6-4,OH,8,1,2,3,0.375
73,"Caden Satterfield, LIU (DI Independent)",Jr.,6-3,OH,8,0,3,3,0.375
73,"Mark Stapley, LIU (DI Independent)",Sr.,6-4,OH,8,1,2,3,0.375
73,"Eamonn Testerman, George Mason (EIVA)",So.,6-8,MB,8,1,2,3,0.375
77,"Brandon Browning, Southern California (MPSF)",Sr.,6-4,OH,14,0,5,5,0.357
78,"Chris Hall, Southern California (MPSF)",Sr.,6-2,S,15,0,5,5,0.333
78,"Shane Holdaway, Long Beach St. (Big West)",Jr.,6-9,MB,3,0,1,1,0.333
78,"Alex Nikolov, Long Beach St. (Big West)",Fr.,6-7,OH,3,0,1,1,0.333
78,"Spencer Olivier, Long Beach St. (Big West)",Jr.,6-6,OH,3,0,1,1,0.333
78,"Nyherowo Omene, Princeton (EIVA)",Fr.,6-7,,6,0,2,2,0.333
78,"Patrick Paragas, UC Santa Barbara (Big West)",So.,6-0,S,12,0,4,4,0.333
78,"Bradley Peters, Lees-McRae (Conference Carolinas)",Jr.,6-2,S,3,0,1,1,0.333
85,"Kade McGovern, Harvard (EIVA)",Fr.,6-6,OPP,10,0,3,3,0.300
85,"Nathan Zini, Saint Francis (EIVA)",Fr.,6-7,OPP,10,0,3,3,0.300
87,"Gio Collaza, LIU (DI Independent)",Fr.,6-2,OH,7,1,1,2,0.286
87,"Camden Gianni, Grand Canyon (MPSF)",So.,6-5,OH,14,1,3,4,0.286
87,"Shaphar Grant, Tusculum (DI Independent)",Jr.,6-4,OH,7,1,1,2,0.286
87,"Luke Lentin, Ohio St. (MIVA)",Sr.,6-3,S,7,0,2,2,0.286
87,"Zach Talamoa, George Mason (EIVA)",Jr.,5-11,S,7,0,2,2,0.286
92,"Jason Sall, Erskine (Conference Carolinas)",So.,6-3,OH,11,0,3,3,0.273
92,"Haotian Xia, UC Santa Barbara (Big West)",Jr.,6-5,OPP,11,0,3,3,0.273
94,"Sergio Carrillo, North Greenville (Conference Carolinas)",Sr.,6-6,S,4,0,1,1,0.250
94,"Ethan Carroll, McKendree (MIVA)",Sr.,6-8,OH,8,0,2,2,0.250
94,"Jordan Cooper, LIU (DI Independent)",Jr.,6-3,OH,8,1,1,2,0.250
94,"Omar Hoyos, George Mason (EIVA)",So.,6-6,OH,8,0,2,2,0.250
94,"Diego Rosich, North Greenville (Conference Carolinas)",So.,6-5,OH,4,0,1,1,0.250
94,"Ryan Wilcox, UC Santa Barbara (Big West)",Jr.,6-2,OH,12,0,3,3,0.250
100,"Sam Kobrine, Southern California (MPSF)",Sr.,6-3,OH,13,0,3,3,0.231
