Rank,Team,S,W-L,Block Solos,Block Assists,TB,Per Set
1,Erskine (Conference Carolinas),3,1-0,8,10,13.0,4.333
2,Purdue Fort Wayne (MIVA),6,1-1,2,35,19.5,3.250
3,CUI (MPSF),3,1-0,3,12,9.0,3.000
4,Penn St. (EIVA),8,2-0,4,35,21.5,2.688
5,Grand Canyon (MPSF),7,2-0,10,17,18.5,2.643
6,Loyola Chicago (MIVA),3,1-0,2,10,7.0,2.333
6,Pepperdine (MPSF),3,1-0,1,12,7.0,2.333
8,CSUN (Big West),9,1-2,6,27,19.5,2.167
8,UCLA (MPSF),9,3-0,3,33,19.5,2.167
10,BYU (MPSF),7,2-0,2,26,15.0,2.143
11,Belmont Abbey (Conference Carolinas),13,1-3,9,36,27.0,2.077
12,FDU (NEC),4,1-0,2,12,8.0,2.000
12,Lincoln Memorial (DI Independent),16,1-3,7,50,32.0,2.000
12,Ohio St. (MIVA),7,1-1,1,26,14.0,2.000
12,Princeton (EIVA),7,1-1,6,16,14.0,2.000
16,McKendree (MIVA),10,1-2,4,31,19.5,1.950
17,Southern California (MPSF),12,2-1,5,36,23.0,1.917
18,Saint Francis (NEC),9,0-2,3,28,17.0,1.889
19,LIU (NEC),3,1-0,0,11,5.5,1.833
20,NJIT (EIVA),7,1-1,1,23,12.5,1.786
21,Daemen (NEC),4,1-0,6,2,7.0,1.750
22,Lindenwood (MIVA),7,0-2,6,12,12.0,1.714
23,Tusculum (DI Independent),7,0-2,2,19,11.5,1.643
23,UC Irvine (Big West),7,2-0,3,17,11.5,1.643
25,Lewis (MIVA),11,1-2,2,28,16.0,1.455
26,Stanford (MPSF),9,2-0,4,17,12.5,1.389
27,Emmanuel (GA) (Conference Carolinas),4,1-0,1,8,5.0,1.250
28,St. Francis Brooklyn (NEC),9,3-0,2,16,10.0,1.111
29,Central St. (OH) (SIAC),7,0-2,0,14,7.0,1.000
29,King (TN) (Conference Carolinas),3,0-1,0,6,3.0,1.000
31,UC Santa Barbara (Big West),12,1-2,3,15,10.5,0.875
32,UC San Diego (Big West),13,1-2,0,18,9.0,0.692
33,American Int'l (DI Independent),6,0-2,1,4,3.0,0.500
