Rank,Team,S,W-L,Digs,Per Set
1,George Mason (EIVA),9,1-1,103,11.44
2,Quincy (MIVA),9,3-0,102,11.33
3,Lincoln Memorial (DI Independent),13,1-3,126,9.69
4,North Greenville (Conference Carolinas),4,1-0,38,9.50
5,Loyola Chicago (MIVA),7,2-0,66,9.43
6,Ball St. (MIVA),9,1-1,83,9.22
7,Limestone (DI Independent),8,1-1,72,9.00
8,Queens (NC) (DI Independent),20,1-4,176,8.80
9,Saint Francis (EIVA),18,1-4,154,8.56
10,Erskine (Conference Carolinas),11,2-1,92,8.36
11,McKendree (MIVA),3,1-0,25,8.33
12,Belmont Abbey (Conference Carolinas),4,1-0,33,8.25
13,Ohio St. (MIVA),6,1-1,46,7.67
14,Tusculum (DI Independent),7,0-2,52,7.43
15,Lewis (MIVA),10,3-0,73,7.30
16,King (TN) (Conference Carolinas),5,2-0,35,7.00
17,Alderson Broaddus (DI Independent),3,1-1,18,6.00
17,Penn St. (EIVA),6,1-1,36,6.00
19,Lees-McRae (Conference Carolinas),3,0-1,12,4.00
