Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Pct.
1,"Tyler Mitchem, Lewis (MIVA)",Sr.,6-10,MB,10,29,4,41,0.610
2,"Zac Cabral, Saint Francis (EIVA)",So.,6-10,,14,29,4,50,0.500
3,"Cole Schlothauer, Loyola Chicago (MIVA)",So.,6-5,,7,33,6,64,0.422
4,"Joshua Blair, Saint Francis (EIVA)",Jr.,6-5,,16,37,9,69,0.406
5,"Emanuel Adames, North Greenville (Conference Carolinas)",Fr.,6-6,MB,4,8,2,15,0.400
6,"Kacper Rybarczyk, Erskine (Conference Carolinas)",Fr.,6-3,OH,11,35,9,66,0.394
7,"Jack Reese, George Mason (EIVA)",Sr.,6-8,,9,18,6,31,0.387
8,"Brandon Baker, North Greenville (Conference Carolinas)",Sr.,6-6,MB,4,8,0,21,0.381
9,"Joshua Kim, King (TN) (Conference Carolinas)",Sr.,6-6,RS,5,19,5,37,0.378
9,"Andrew Kohut, Belmont Abbey (Conference Carolinas)",Jr.,6-6,OPP,4,20,6,37,0.378
11,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,OH,10,37,6,82,0.378
12,"Luke Denton, Loyola Chicago (MIVA)",Jr.,6-6,,7,27,7,59,0.339
13,"Cal Fisher, Penn St. (EIVA)",Jr.,6-3,OPP,6,10,3,21,0.333
14,"Blake Reardon, Ball St. (MIVA)",Sr.,6-4,OH,9,49,18,97,0.320
15,"Tommy McGrath, McKendree (MIVA)",Jr.,6-7,,3,5,2,10,0.300
16,"Omari Wheeler, Quincy (MIVA)",Sr.,6-5,OPP,9,34,10,81,0.296
17,"Nic Cavallaro, Queens (NC) (DI Independent)",Sr.,6-3,OH,14,38,13,85,0.294
18,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,OH,4,13,5,28,0.286
18,"Brett Wildman, Penn St. (EIVA)",Jr.,6-5,OH,6,8,2,21,0.286
20,"Michael Ladner, Quincy (MIVA)",So.,6-3,OH,9,24,9,56,0.268
21,"Justin Sharfenaker, Lincoln Memorial (DI Independent)",Fr.,6-6,,13,47,21,103,0.252
22,"Bryce Behrendt, Ball St. (MIVA)",So.,6-4,OH,7,10,3,29,0.241
23,"Jacob Pasteur, Ohio St. (MIVA)",Fr.,6-4,OH,6,18,10,34,0.235
24,"Francisco Salinger, Limestone (DI Independent)",Sr.,6-5,OH,8,24,11,56,0.232
25,"Alexander Finch, Saint Francis (EIVA)",So.,6-3,,16,40,20,92,0.217
26,"Jacob Whyte, Erskine (Conference Carolinas)",Fr.,6-4,OPP,10,26,13,64,0.203
27,"Nic Brewster, Lees-McRae (Conference Carolinas)",Fr.,6-4,OH,3,6,3,15,0.200
27,"Jake Somers, Belmont Abbey (Conference Carolinas)",Sr.,6-4,OH,4,6,3,15,0.200
29,"Johansen Negron, Lincoln Memorial (DI Independent)",So.,6-2,,11,25,15,53,0.189
30,"Shaun Kampshoff, Tusculum (DI Independent)",Jr.,6-4,RS,7,25,14,64,0.172
31,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Sr.,6-2,OH,4,12,6,36,0.167
32,"Kaleb Jenness, Ball St. (MIVA)",Jr.,6-6,OH,9,29,16,79,0.165
33,"Jack Bolz, George Mason (EIVA)",Fr.,6-7,,9,29,18,68,0.162
34,"Colton Brooks, Loyola Chicago (MIVA)",So.,6-4,,6,12,7,31,0.161
35,"Spencer Saint-Eloi, Limestone (DI Independent)",Sr.,6-1,OPP,8,16,10,38,0.158
36,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,,3,10,6,27,0.148
37,"Richie Hoff, George Mason (EIVA)",Jr.,6-4,,9,13,7,42,0.143
37,"Jacob Titus, Lincoln Memorial (DI Independent)",So.,6-4,,10,25,15,70,0.143
39,"Austin Gerwig, Ohio St. (MIVA)",Sr.,6-6,MB,6,8,5,23,0.130
40,"Geraldo Rivera, Limestone (DI Independent)",Sr.,6-0,OH,7,20,14,54,0.111
41,"Luis Kannee, North Greenville (Conference Carolinas)",Sr.,6-3,OPP,4,7,5,19,0.105
42,"Jason Sall, Erskine (Conference Carolinas)",Fr.,6-3,OH,10,19,13,60,0.100
43,"Zach Schnittker, McKendree (MIVA)",Sr.,6-4,,3,8,6,21,0.095
44,"Ethan Carroll, McKendree (MIVA)",Sr.,6-8,,3,3,2,11,0.091
45,"Tim Baldwin, Ohio St. (MIVA)",So.,6-6,OPP,5,7,5,25,0.080
46,"Cole Brillhart, Lewis (MIVA)",So.,6-2,OH,10,12,9,38,0.079
47,"Dane Loup, Tusculum (DI Independent)",Fr.,6-2,OH,7,8,6,27,0.074
48,"Jack Brinkman, Queens (NC) (DI Independent)",So.,6-2,OH,14,19,14,69,0.072
49,"Josh Bragg, Queens (NC) (DI Independent)",Sr.,6-4,OH,18,16,12,73,0.055
50,"Diego Marcano, King (TN) (Conference Carolinas)",So.,6-2,RS,5,7,6,30,0.033
51,"Colby Landry, Tusculum (DI Independent)",Fr.,6-1,OH,7,12,13,40,-0.025
52,"Gannon Chinen, Alderson Broaddus (DI Independent)",Fr.,6-3,RS,3,6,7,17,-0.059
