Rank,Team,Kills,W-L,Errors,Total Attacks,Pct.
1,Stanford (MPSF),76,2-0,18,120,0.483
2,Ohio St. (MIVA),91,2-0,20,174,0.408
3,Long Beach St. (Big West),138,3-0,38,247,0.405
4,Pepperdine (MPSF),88,2-0,20,173,0.393
5,UCLA (MPSF),81,2-0,26,148,0.372
6,UC Santa Barbara (Big West),141,3-0,40,273,0.370
7,Purdue Fort Wayne (MIVA),88,2-0,24,184,0.348
8,Loyola Chicago (MIVA),108,1-1,29,229,0.345
9,Ball St. (MIVA),96,2-0,34,198,0.313
10,George Mason (EIVA),79,2-0,30,166,0.295
11,Barton (Conference Carolinas),36,0-1,17,74,0.257
12,UC Irvine (Big West),114,2-0,48,266,0.248
13,Princeton (EIVA),133,0-4,54,320,0.247
14,Penn St. (EIVA),48,0-1,20,118,0.237
15,Harvard (EIVA),111,0-3,48,278,0.227
16,Lewis (MIVA),87,1-1,44,193,0.223
17,CSUN (Big West),154,2-1,76,355,0.220
18,Grand Canyon (MPSF),104,1-2,56,268,0.179
19,CUI (MPSF),103,0-3,55,280,0.171
20,UC San Diego (Big West),63,0-2,40,163,0.141
21,Charleston (WV) (EIVA),20,0-1,12,60,0.133
22,NJIT (Independent),65,0-2,41,201,0.119
23,North Greenville (Conference Carolinas),52,0-2,34,154,0.117
24,Queens (NC) (DI Independent),9,0-1,27,75,-0.240
