Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
1,"Jake Hanes, Ohio St. (MIVA)",So.,6-10,,7,37,5.29
2,"Kyle Ensing, Long Beach St. (Big West)",Sr.,6-7,,9,42,4.67
2,"Pelegrin Vargas, Purdue Fort Wayne (MIVA)",Jr.,6-4,,6,28,4.67
4,"Joel Schneidmiller, UC Irvine (Big West)",So.,6-6,,9,41,4.56
5,"Calvin Mende, Penn St. (EIVA)",Jr.,6-11,,4,18,4.50
6,"Parker Dixon, Princeton (EIVA)",Jr.,6-6,,13,52,4.00
6,"Brandon Rattray, UCLA (MPSF)",Jr.,6-5,,7,28,4.00
8,"Corey Chavers, UC Santa Barbara (Big West)",Sr.,6-6,,11,42,3.82
9,"Christian Janke, Grand Canyon (MPSF)",Fr.,6-5,,11,40,3.64
10,"Dimitar Kalchev, CSUN (Big West)",Sr.,6-4,,14,49,3.50
11,"Hayden Wagner, George Mason (EIVA)",Jr.,6-6,,7,24,3.43
11,"Michael Wexter, Pepperdine (MPSF)",Sr.,6-6,,7,24,3.43
13,"Dylan Missry, UCLA (MPSF)",Sr.,6-4,,7,23,3.29
13,"David Wieczorek, Pepperdine (MPSF)",Sr.,6-8,,7,23,3.29
15,"Ksawery Tomsia, CSUN (Big West)",Jr.,6-7,,11,36,3.27
16,"Jaylen Jasper, Stanford (MPSF)",So.,6-7,,6,19,3.17
17,"Kaleb Jenness, Ball St. (MIVA)",Fr.,6-6,,7,22,3.14
18,"George Huhmann, Princeton (EIVA)",Jr.,6-11,,13,40,3.08
19,"Ryan Coenen, Lewis (MIVA)",Jr.,6-9,,6,18,3.00
19,"Jordan Hoppe, CUI (MPSF)",Jr.,0-0,,10,30,3.00
19,"Collin Mahan, Loyola Chicago (MIVA)",Sr.,6-5,,7,21,3.00
19,"TJ Murray, Lewis (MIVA)",So.,6-9,,6,18,3.00
23,"TJ DeFalco, Long Beach St. (Big West)",Sr.,6-4,,9,26,2.89
24,"Matt Szews, Ball St. (MIVA)",Jr.,6-8,,8,23,2.88
25,"Kaleb Denmark, Pepperdine (MPSF)",Sr.,6-4,,7,20,2.86
25,"Will Tischler, Loyola Chicago (MIVA)",Sr.,6-7,,7,20,2.86
27,"Aaron Koubi, UC Irvine (Big West)",Sr.,6-5,,9,25,2.78
28,"Matthew McLaren, Penn St. (EIVA)",Sr.,6-4,,4,11,2.75
29,"Reese Devilbiss, Ohio St. (MIVA)",Jr.,6-2,,7,19,2.71
30,"Maarten Bartels, Charleston (WV) (EIVA)",So.,6-4,,3,8,2.67
30,"Jackson Gilbert, North Greenville (Conference Carolinas)",Jr.,6-6,,6,16,2.67
30,"Lee Smith, Penn St. (EIVA)",Sr.,6-6,,3,8,2.67
33,"Tyler Mitchem, Lewis (MIVA)",So.,6-10,,7,18,2.57
34,"Tomas Gago, Purdue Fort Wayne (MIVA)",So.,6-8,,6,15,2.50
34,"Vasilis Mandilaris, Barton (Conference Carolinas)",Sr.,6-5,,4,10,2.50
34,"Tony Price, Purdue Fort Wayne (MIVA)",Sr.,6-4,,6,15,2.50
34,"David Siebum, Ball St. (MIVA)",Sr.,6-4,,8,20,2.50
38,"Simon Andersen, Long Beach St. (Big West)",So.,6-8,,9,22,2.44
39,"Langston Payne, George Mason (EIVA)",Sr.,6-5,,7,17,2.43
40,"Richie Diedrich, Purdue Fort Wayne (MIVA)",Jr.,6-9,,6,14,2.33
41,"Raymond Barsemian, CUI (MPSF)",Jr.,6-6,,10,23,2.30
42,"Blake Leeson, Ohio St. (MIVA)",Sr.,6-7,,7,16,2.29
43,"Adrian Iglesias, Barton (Conference Carolinas)",Fr.,6-5,,4,9,2.25
43,"Angelos Mandilaris, Barton (Conference Carolinas)",Jr.,6-5,,4,9,2.25
43,"Kyle Piekarski, Loyola Chicago (MIVA)",Jr.,6-8,,8,18,2.25
46,"Karl Apfelbach, UC Irvine (Big West)",Sr.,6-8,,9,20,2.22
