Rank,Team,S,W-L,Kills,Per Set
1,UC Irvine (Big West),117,20-11,"1,549",13.24
2,Lindenwood (MIVA),102,16-12,"1,325",12.99
3,Loyola Chicago (MIVA),106,19-10,"1,369",12.92
4,Ohio St. (MIVA),121,22-9,"1,561",12.90
5,Grand Canyon (MPSF),110,26-5,"1,413",12.85
6,Ball St. (MIVA),113,21-10,"1,438",12.73
7,UCLA (MPSF),118,26-5,"1,500",12.71
8,Hawaii (Big West),106,23-7,"1,341",12.65
9,Lincoln Memorial (DI Independent),93,21-5,"1,176",12.65
10,McKendree (MIVA),94,14-12,"1,183",12.59
11,Long Beach St. (Big West),107,27-3,"1,325",12.38
12,Pepperdine (MPSF),103,17-11,"1,275",12.38
13,Daemen (NEC),90,20-6,"1,111",12.34
14,CSUN (Big West),111,13-16,"1,368",12.32
15,BYU (MPSF),98,16-9,"1,197",12.21
16,George Mason (EIVA),107,18-10,"1,306",12.21
17,Lewis (MIVA),117,15-15,"1,424",12.17
18,North Greenville (Conference Carolinas),94,15-9,"1,141",12.14
19,Stanford (MPSF),99,14-12,"1,199",12.11
20,Penn St. (EIVA),116,23-7,"1,403",12.09
21,Mount Olive (Conference Carolinas),96,17-10,"1,145",11.93
22,NJIT (EIVA),102,11-15,"1,216",11.92
23,Belmont Abbey (Conference Carolinas),97,21-5,"1,156",11.92
24,Saint Francis (PA) (NEC),113,21-9,"1,345",11.90
25,Southern California (MPSF),109,13-15,"1,294",11.87
26,Princeton (EIVA),92,12-12,"1,090",11.85
27,Purdue Fort Wayne (MIVA),99,14-12,"1,170",11.82
28,Sacred Heart (NEC),118,12-20,"1,393",11.81
29,UC Santa Barbara (Big West),110,9-18,"1,292",11.75
30,Erskine (Conference Carolinas),85,13-11,996,11.72
31,Maryville (MO) (DI Independent),105,21-8,"1,217",11.59
32,D'Youville (NEC),82,10-13,950,11.59
33,FDU (NEC),99,12-15,"1,129",11.40
34,LIU (NEC),96,14-13,"1,094",11.40
35,Emmanuel (GA) (Conference Carolinas),101,9-19,"1,136",11.25
36,Fort Valley St. (SIAC),81,17-9,911,11.25
37,Merrimack (NEC),88,9-16,986,11.20
38,Charleston (WV) (EIVA),110,13-16,"1,231",11.19
39,Missouri S&T (DI Independent),75,10-12,838,11.17
40,Harvard (EIVA),96,12-13,"1,071",11.16
41,Queens (NC) (MIVA),108,9-21,"1,193",11.05
42,King (TN) (Conference Carolinas),92,7-21,"1,006",10.93
43,Tusculum (DI Independent),108,8-23,"1,174",10.87
44,UC San Diego (Big West),97,12-15,"1,050",10.82
45,CUI (MPSF),89,6-19,959,10.78
46,Quincy (MIVA),83,5-19,893,10.76
47,St. Thomas Aquinas (ECC),78,10-12,829,10.63
48,Barton (Conference Carolinas),92,12-13,941,10.23
49,Roberts Wesleyan (ECC),84,8-16,850,10.12
50,Dominican (NY) (ECC),86,12-13,847,9.85
