Rank,Team,W,L,Pct.
1,UC Santa Barbara (Big West),3,0,1.000
1,Long Beach St. (Big West),3,0,1.000
1,Stanford (MPSF),2,0,1.000
1,UC Irvine (Big West),2,0,1.000
1,Pepperdine (MPSF),2,0,1.000
1,Purdue Fort Wayne (MIVA),2,0,1.000
1,Ohio St. (MIVA),2,0,1.000
1,UCLA (MPSF),2,0,1.000
1,Ball St. (MIVA),2,0,1.000
1,George Mason (EIVA),2,0,1.000
11,CSUN (Big West),2,1,0.667
12,Loyola Chicago (MIVA),1,1,0.500
12,Lewis (MIVA),1,1,0.500
14,Grand Canyon (MPSF),1,2,0.333
15,Penn St. (EIVA),0,1,0.000
15,Harvard (EIVA),0,3,0.000
15,Princeton (EIVA),0,4,0.000
15,Barton (Conference Carolinas),0,1,0.000
15,Queens (NC) (DI Independent),0,1,0.000
15,UC San Diego (Big West),0,2,0.000
15,CUI (MPSF),0,3,0.000
15,NJIT (Independent),0,2,0.000
15,North Greenville (Conference Carolinas),0,2,0.000
15,Charleston (WV) (EIVA),0,1,0.000
