Rank,Team,S,W-L,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
1,George Mason (EIVA),7,2-0,45,44,149,0.007
2,Stanford (MPSF),6,2-0,41,31,126,0.079
3,UC Santa Barbara (Big West),11,3-0,97,62,280,0.125
4,UCLA (MPSF),7,2-0,53,33,139,0.144
5,Ball St. (MIVA),8,2-0,77,41,206,0.175
6,Loyola Chicago (MIVA),8,1-1,92,47,234,0.192
7,Pepperdine (MPSF),7,2-0,67,33,175,0.194
8,Ohio St. (MIVA),7,2-0,68,32,178,0.202
9,UC Irvine (Big West),9,2-0,110,53,274,0.208
10,Lewis (MIVA),7,1-1,74,35,186,0.210
11,CSUN (Big West),14,2-1,134,63,324,0.219
12,Purdue Fort Wayne (MIVA),6,2-0,64,28,164,0.220
13,Long Beach St. (Big West),9,3-0,87,34,222,0.239
14,Queens (NC) (DI Independent),3,0-1,33,13,77,0.260
15,NJIT (Independent),8,0-2,100,40,226,0.265
16,Grand Canyon (MPSF),11,1-2,124,44,259,0.309
17,Harvard (EIVA),13,0-3,168,61,334,0.320
18,Barton (Conference Carolinas),4,0-1,46,17,89,0.326
19,CUI (MPSF),10,0-3,141,49,282,0.326
20,Penn St. (EIVA),4,0-1,52,11,108,0.380
21,UC San Diego (Big West),7,0-2,81,19,158,0.392
22,Princeton (EIVA),13,0-4,172,45,319,0.398
23,North Greenville (Conference Carolinas),6,0-2,85,20,148,0.439
24,Charleston (WV) (EIVA),3,0-1,39,9,66,0.455
