Rank,Player,Cl,Ht,Pos,S,Kills,Aces,Block Solos,Block Assists,Pts,Per Set
1,"Hilir Henno, UC Irvine (Big West)",Jr.,6-8,OH,117,557,49,13,54,0,5.52
2,"Geste Bianchi, UC Santa Barbara (Big West)",Jr.,6-6,OPP,97,468,37,4,45,0,5.48
3,"Jamal Ellis Carballo, FDU (NEC)",So.,6-6,OPP,77,342,24,10,33,0,5.10
4,"Raje Alleyne, Quincy (MIVA)",Jr.,6-6,OPP,83,366,27,17,23,0,5.08
5,"Patrick Mucherino, Sacred Heart (NEC)",Sr.,6-5,OH,108,461,25,21,45,0,4.90
6,"Parker Van Buren, Loyola Chicago (MIVA)",Jr.,6-9,OH,94,402,24,5,58,0,4.89
7,"Ben Harrington, Princeton (EIVA)",Sr.,6-4,,91,342,58,5,48,0,4.71
8,"Tinaishe Ndavazocheva, Ball St. (MIVA)",Jr.,6-6,OH,81,327,24,6,35,0,4.62
9,"Nathan Zini, Saint Francis (NEC)",Jr.,6-7,OPP,107,410,63,1,30,0,4.57
10,"Kyle Hobus, CSUN (Big West)",Sr.,6-8,OH,110,406,46,13,70,0,4.55
11,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,83,320,30,4,36,0,4.48
12,"John Kerr, Penn St. (EIVA)",Sr.,6-6,OPP,106,420,28,2,50,0,4.48
13,"Camden Gianni, Grand Canyon (MPSF)",Sr.,6-5,OPP,104,368,56,5,63,0,4.43
14,"Will Rottman, Stanford (MPSF)",Sr.,6-6,OH,74,275,32,7,27,0,4.43
15,"Mark Frazier, Purdue Fort Wayne (MIVA)",Jr.,6-6,MB,98,377,27,5,49,0,4.42
16,"Logan Whitaker, Merrimack (NEC)",So.,6-4,OH,87,324,35,9,31,0,4.41
17,"Jacob Pasteur, Ohio St. (MIVA)",Sr.,6-4,OH,110,390,63,5,44,0,4.36
18,"Jon Diedrich, Purdue Fort Wayne (MIVA)",Sr.,6-6,OPP,99,370,28,8,47,0,4.34
19,"Edgerrin Austin, Erskine (Conference Carolinas)",Sr.,5-11,OH,72,267,25,2,27,0,4.27
20,"Max Roquet, Lewis (MIVA)",Jr.,6-8,OH,112,406,18,13,69,0,4.21
21,"Isaiah Fedd, Fort Valley St. (SIAC)",So.,6-3,OH,59,195,39,3,21,0,4.19
22,"Cole Ketrzynski, Pepperdine (MPSF)",Sr.,6-8,OPP,94,332,26,3,64,0,4.18
