Rank,Team,S,W-L,Kills,Errors,Total Attacks,Per Set
1,Pepperdine (MPSF),3,1-0,38,15,93,31.00
2,Lindenwood (MIVA),7,0-2,88,37,204,29.14
3,CUI (MPSF),3,1-0,36,17,87,29.00
3,Daemen (NEC),4,1-0,53,22,116,29.00
5,Emmanuel (GA) (Conference Carolinas),4,1-0,58,18,115,28.75
6,LIU (NEC),3,1-0,43,11,85,28.33
7,Tusculum (DI Independent),7,0-2,71,51,197,28.14
8,UC Irvine (Big West),7,2-0,101,22,195,27.86
9,McKendree (MIVA),10,1-2,124,56,277,27.70
10,King (TN) (Conference Carolinas),3,0-1,27,20,82,27.33
11,Princeton (EIVA),7,1-1,79,34,188,26.86
12,Central St. (OH) (SIAC),7,0-2,58,35,187,26.71
13,Southern California (MPSF),12,2-1,138,50,320,26.67
14,Penn St. (EIVA),8,2-0,102,37,212,26.50
15,Erskine (Conference Carolinas),3,1-0,32,14,79,26.33
16,UC Santa Barbara (Big West),12,1-2,131,49,297,24.75
17,Grand Canyon (MPSF),7,2-0,88,28,173,24.71
18,FDU (NEC),4,1-0,46,21,98,24.50
19,American Int'l (DI Independent),6,0-2,49,44,146,24.33
20,Lincoln Memorial (DI Independent),16,1-3,170,69,389,24.31
21,NJIT (EIVA),7,1-1,75,33,170,24.29
22,Stanford (MPSF),9,2-0,111,36,218,24.22
23,Belmont Abbey (Conference Carolinas),13,1-3,124,62,311,23.92
24,CSUN (Big West),9,1-2,92,48,215,23.89
25,St. Francis Brooklyn (NEC),9,3-0,105,26,214,23.78
26,Lewis (MIVA),11,1-2,133,42,260,23.64
27,Saint Francis (NEC),9,0-2,94,37,209,23.22
28,UC San Diego (Big West),13,1-2,134,57,294,22.62
29,Purdue Fort Wayne (MIVA),6,1-1,59,31,134,22.33
30,BYU (MPSF),7,2-0,83,26,153,21.86
30,Ohio St. (MIVA),7,1-1,78,31,153,21.86
32,Loyola Chicago (MIVA),3,1-0,33,9,65,21.67
33,UCLA (MPSF),9,3-0,97,19,181,20.11
