Rank,Player,Cl,Ht,Pos,S,Aces,Per Set
1,"Hilir Henno, UC Irvine (Big West)",So.,6-8,OH,99,87,0.879
2,"Bradley Peters, Lees-McRae (Conference Carolinas)",Sr.,6-2,S,96,77,0.802
3,"Ben Harrington, Princeton (EIVA)",Jr.,6-4,,95,65,0.684
4,"Cal Fisher, Penn St. (EIVA)",Sr.,6-3,OPP,76,51,0.671
5,"Nate Meyer, Missouri S&T (DI Independent)",Fr.,6-3,OH,71,43,0.606
6,"Camden Gianni, Grand Canyon (MPSF)",Jr.,6-5,OH,84,42,0.500
6,"Brett Wildman, Penn St. (EIVA)",Sr.,6-5,OH,88,44,0.500
8,"Andrew Rowan, UCLA (MPSF)",Fr.,6-6,S,101,49,0.485
8,"Michael de la Cruz, North Greenville (Conference Carolinas)",So.,6-3,MB,101,49,0.485
10,"Isaiah Fedd, Fort Valley St. (SIAC)",Fr.,6-3,OH,99,48,0.485
11,"Albert Warzocha, Limestone (DI Independent)",So.,6-3,OH,74,35,0.473
12,"AJ Lewis, Lindenwood (MIVA)",Sr.,6-5,OH,84,39,0.464
13,"Parker Van Buren, Loyola Chicago (MIVA)",So.,6-9,OH,102,46,0.451
14,"Francesco Sani, UC Irvine (Big West)",Jr.,6-8,OH,108,48,0.444
15,"Clay Wieter, Lindenwood (MIVA)",Jr.,6-6,OH,65,28,0.431
16,"Matthew Gentry, Lincoln Memorial (DI Independent)",So.,6-7,MH,84,36,0.429
16,"Ryan Parker, Saint Francis (NEC)",Jr.,6-3,S,84,36,0.429
18,"Sotiris Siapanis, Long Beach St. (Big West)",So.,6-3,OH,89,38,0.427
19,"Loic Nanchen, Alderson Broaddus (DI Independent)",Jr.,6-3,OH,92,39,0.424
20,"Ido David, UCLA (MPSF)",So.,6-7,OH,91,38,0.418
21,"Zach Berty, Harvard (EIVA)",Fr.,6-6,OH,80,32,0.400
21,"Spyros Chakas, Hawaii (Big West)",Jr.,6-4,OH,90,36,0.400
21,"Bryce Walker, Purdue Fort Wayne (MIVA)",Jr.,6-8,MB,105,42,0.400
24,"Nyherowo Omene, Princeton (EIVA)",So.,6-7,,96,38,0.396
25,"Christian Prayer, Lewis (MIVA)",Jr.,6-4,OPP,86,34,0.395
26,"Diego Rosich, North Greenville (Conference Carolinas)",Jr.,6-5,OH,102,40,0.392
27,"Cole Campisano, Lincoln Memorial (DI Independent)",Jr.,6-3,OH,82,31,0.378
28,"Dimitrios Mouchlias, Hawaii (Big West)",Jr.,6-6,OPP,90,34,0.378
29,"Mark Frazier, Purdue Fort Wayne (MIVA)",So.,6-6,MB,103,38,0.369
30,"Ethan Champlin, UCLA (MPSF)",Jr.,6-3,OH,99,36,0.364
30,"Will Rottman, Stanford (MPSF)",Sr.,6-6,OH,88,32,0.364
30,"Jakob Thelle, Hawaii (Big West)",Sr.,6-6,S,77,28,0.364
33,"Shane Wetzel, Ohio St. (MIVA)",Fr.,6-7,OPP,92,33,0.359
34,"Kaelen Ingram, Edward Waters (SIAC)",So.,6-6,OH,59,21,0.356
35,"Kyle Zelasko, Daemen (NEC)",Fr.,5-10,DB,83,29,0.349
36,"Jack Brinkman, Queens (NC) (DI Independent)",Sr.,6-2,OH,86,30,0.349
37,"Akin Akinwumi, Pepperdine (MPSF)",Sr.,6-5,OH,112,39,0.348
37,"Bryce Dvorak, Pepperdine (MPSF)",Jr.,6-4,S,112,39,0.348
39,"Livan Moreno, LIU (NEC)",Sr.,6-3,OH,107,37,0.346
40,"Jack Bolz, George Mason (EIVA)",Jr.,6-7,OPP,84,29,0.345
41,"Justin Sharfenaker, Lincoln Memorial (DI Independent)",Jr.,6-6,RS,62,21,0.339
42,"Ryan Wilcox, UC Santa Barbara (Big West)",Sr.,6-2,OH,98,33,0.337
43,"Jacob Pasteur, Ohio St. (MIVA)",Jr.,6-4,OH,119,40,0.336
44,"Ras Jesse Delancy, Benedict (SIAC)",So.,6-6,OH,69,23,0.333
44,"Michal Kowal, Penn St. (EIVA)",Jr.,6-2,OH,96,32,0.333
46,"Carlos Pinto, Central St. (OH) (SIAC)",So.,6-0,S,88,29,0.330
47,"Stirling Sims, Queens (NC) (DI Independent)",Jr.,6-4,OPP,67,22,0.328
48,"Kendersley Marcellin, Benedict (SIAC)",Fr.,5-10,S,64,21,0.328
49,"Griffin Walters, CSUN (Big West)",Jr.,6-6,OH,95,31,0.326
