Rank,Player,Cl,Ht,Pos,S,Assists,Per Set
1,"Michael Keegan, Purdue Fort Wayne (MIVA)",Sr.,6-3,,6,77,12.83
2,"Josh Tuaniga, Long Beach St. (Big West)",Sr.,6-3,,9,109,12.11
3,"Sanil Thomas, Ohio St. (MIVA)",Sr.,6-0,,7,81,11.57
4,"Garrett Zolg, Loyola Chicago (MIVA)",So.,6-3,,8,88,11.00
5,"Matt Yoshimoto, Lewis (MIVA)",Sr.,6-5,,6,62,10.33
6,"Dante Chakravorti, UC Irvine (Big West)",Sr.,6-4,,9,89,9.89
7,"Micah Ma'a, UCLA (MPSF)",Sr.,6-3,,7,67,9.57
8,"Casey McGarry, UC Santa Barbara (Big West)",Jr.,6-1,,9,85,9.44
9,"Jake Romano, Ball St. (MIVA)",Jr.,6-6,,8,74,9.25
10,"Taylor Ittner, CSUN (Big West)",Fr.,6-4,,14,129,9.21
11,"Brendin Chandler, Pepperdine (MPSF)",Fr.,6-3,,7,63,9.00
12,"Luke Braswell, Penn St. (EIVA)",Jr.,6-4,,4,35,8.75
13,"Paul Bischoff, Stanford (MPSF)",Jr.,6-5,,5,43,8.60
14,"Joe Kelly, Princeton (EIVA)",So.,6-2,,13,102,7.85
15,"Oscar Fiorentino, Barton (Conference Carolinas)",Jr.,6-4,,4,31,7.75
16,"Chandler Gibb, CUI (MPSF)",Sr.,6-2,,9,64,7.11
17,"Onur Cukur, Grand Canyon (MPSF)",So.,6-8,,11,78,7.09
18,"Jake Boldog, North Greenville (Conference Carolinas)",Jr.,6-2,,5,35,7.00
19,"Matthew Ctvrlik, Harvard (EIVA)",Jr.,6-5,,13,88,6.77
20,"Connor Walbrecht, UC San Diego (Big West)",Jr.,6-4,,7,47,6.71
21,"Diego Villafane, Charleston (WV) (EIVA)",Fr.,6-1,,3,19,6.33
22,"Roque Nido, NJIT (Independent)",Fr.,6-4,,6,33,5.50
23,"Randy DeWeese, UC Santa Barbara (Big West)",Jr.,6-6,,8,35,4.38
24,"Isaiah Kaaa, CUI (MPSF)",Sr.,6-2,,7,20,2.86
25,"Robert Mullahey, Pepperdine (MPSF)",So.,6-4,,5,13,2.60
26,"Garland Peed V, UCLA (MPSF)",So.,6-2,,5,7,1.40
27,"TJ DeFalco, Long Beach St. (Big West)",Sr.,6-4,,9,10,1.11
28,"Addison Enriques, CUI (MPSF)",So.,5-10,,9,8,0.89
29,"Avery Aylsworth, Loyola Chicago (MIVA)",Sr.,6-0,,7,5,0.71
29,"Aaron Samarin, Ohio St. (MIVA)",Sr.,6-0,,7,5,0.71
31,"Jordan Molina, Long Beach St. (Big West)",Sr.,5-9,,9,6,0.67
32,"Matt Szews, Ball St. (MIVA)",Jr.,6-8,,8,5,0.63
32,"Adam Wessel, Ball St. (MIVA)",Sr.,5-11,,8,5,0.63
34,"David Parker, UC Irvine (Big West)",Sr.,6-1,,9,5,0.56
34,"Cole Udall, Grand Canyon (MPSF)",Fr.,6-3,,9,5,0.56
36,"Hayden Boehle, UC Santa Barbara (Big West)",Sr.,6-1,,11,6,0.55
37,"Will Bantle, Penn St. (EIVA)",Fr.,6-5,,4,2,0.50
37,"Aleksa Brkovic, Barton (Conference Carolinas)",Sr.,6-3,,4,2,0.50
37,"Kyle Dagostino, Stanford (MPSF)",Sr.,5-9,,6,3,0.50
37,"Jason Donorovich, Penn St. (EIVA)",Jr.,6-9,,4,2,0.50
37,"Angelos Mandilaris, Barton (Conference Carolinas)",Jr.,6-5,,4,2,0.50
37,"Michael Simmons, Lewis (MIVA)",Sr.,6-4,,6,3,0.50
37,"Chris Wise, NJIT (Independent)",Sr.,5-9,,8,4,0.50
44,"Joel Schneidmiller, UC Irvine (Big West)",So.,6-6,,9,4,0.44
45,"Emmett Enriques, CSUN (Big West)",Sr.,6-1,,14,6,0.43
45,"Ryan Lew, UC San Diego (Big West)",Jr.,5-11,,7,3,0.43
45,"David Wieczorek, Pepperdine (MPSF)",Sr.,6-8,,7,3,0.43
48,"Jason Shen, Harvard (EIVA)",Fr.,5-11,,12,5,0.42
49,"Erik Johnsson, Harvard (EIVA)",Jr.,6-4,,13,5,0.38
50,"Jerod Nelsen, Princeton (EIVA)",Fr.,6-7,,11,4,0.36
