Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
1,"Gabi Garcia Fernandez, BYU (MPSF)",Jr.,6-7,,8,38,14,78,9.75
2,"Reese Devilbiss, Ohio St. (MIVA)",Sr.,6-2,,3,11,3,27,9.00
3,"Davide Gardini, BYU (MPSF)",So.,6-9,,8,40,12,68,8.50
4,"Cole Schlothauer, Loyola Chicago (MVC)",Fr.,6-5,,8,28,11,66,8.25
5,"George Huhmann, Princeton (EIVA)",Sr.,6-11,,8,29,11,64,8.00
5,"Hayden Wagner, George Mason (EIVA)",Sr.,6-6,,3,10,7,24,8.00
7,"Tyler Chavez, Urbana (DI Independent)",Fr.,6-2,,4,11,5,31,7.75
8,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,,7,26,8,53,7.57
9,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,,6,14,12,43,7.17
10,"Parker Dixon, Princeton (EIVA)",Sr.,6-6,,7,18,9,50,7.14
11,"Joshua Kim, King (TN) (Conference Carolinas)",Jr.,6-6,RS,7,19,11,47,6.71
12,"JB Kam, UC Irvine (Big West)",Sr.,6-3,,3,6,3,20,6.67
12,"Alexandre Nsakanda, UC Irvine (Big West)",So.,6-4,,3,11,1,20,6.67
14,"Mike Kapusta, George Mason (EIVA)",So.,6-7,,3,6,3,19,6.33
14,"Joel Schneidmiller, UC Irvine (Big West)",Jr.,6-6,,3,8,4,19,6.33
16,"Billy Fauntleroy, Southern California (MPSF)",So.,6-8,,4,9,7,25,6.25
17,"Colton Cowell, Hawaii (Big West)",Sr.,6-1,,6,18,6,37,6.17
18,"Devin Joslyn, Loyola Chicago (MVC)",Jr.,6-6,,8,23,7,49,6.13
19,"Noah Dyer, Pepperdine (MPSF)",Sr.,6-5,,3,10,0,18,6.00
19,"Andrew Hillman, Ohio St. (MIVA)",Sr.,6-3,,3,8,7,18,6.00
19,"Martin Lallemand, Ohio St. (MIVA)",Jr.,6-4,,3,8,5,18,6.00
19,"Jake Vorburger, Charleston (WV) (EIVA)",Fr.,0-0,,6,15,8,36,6.00
23,"Kyle Bugee, Lewis (MIVA)",Sr.,6-5,,7,16,10,41,5.86
24,"Kyle Gear, Southern California (MPSF)",Jr.,6-9,,5,10,3,29,5.80
25,"Jack Brinkman, Urbana (DI Independent)",Fr.,6-2,,4,10,8,23,5.75
26,"Suetonius Harris, King (TN) (Conference Carolinas)",So.,6-1,OH,7,11,11,40,5.71
26,"Cade McGee, North Greenville (Conference Carolinas)",So.,6-1,,7,21,9,40,5.71
28,"Zach Yerington, Daemen (DI Independent)",Sr.,6-5,,3,6,8,17,5.67
