Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
1,"Paul Narup, Loyola Chicago (MIVA)",Sr.,6-7,,7,3,10,13,1.857
2,"Daenan Gyimah, UCLA (MPSF)",Jr.,6-8,,7,3,7,10,1.429
3,"TJ Murray, Lewis (MIVA)",So.,6-9,,6,0,8,8,1.333
3,"Cody Nix, Queens (NC) (DI Independent)",So.,6-6,,3,1,3,4,1.333
3,"Jack Reese, George Mason (EIVA)",So.,6-8,,6,2,6,8,1.333
6,"Hayden Wagner, George Mason (EIVA)",Jr.,6-6,,7,2,7,9,1.286
7,"Luca Berger, NJIT (Independent)",Jr.,6-10,,8,3,7,10,1.250
7,"Jack Truman, UC Santa Barbara (Big West)",Fr.,6-11,,8,3,7,10,1.250
9,"Scott Stadick, UC Irvine (Big West)",Jr.,7-0,,9,0,11,11,1.222
10,"Tomas Gago, Purdue Fort Wayne (MIVA)",So.,6-8,,6,0,7,7,1.167
11,"Felix Egharevba, Ball St. (MIVA)",Fr.,6-5,,7,0,8,8,1.143
11,"Collin Mahan, Loyola Chicago (MIVA)",Sr.,6-5,,7,0,8,8,1.143
11,"Tyler Mitchem, Lewis (MIVA)",So.,6-10,,7,1,7,8,1.143
11,"Kevin Vaz, Pepperdine (MPSF)",Sr.,6-6,,7,0,8,8,1.143
15,"Austin Wilmot, UC Irvine (Big West)",So.,6-9,,9,2,8,10,1.111
16,"Ryan Coenen, Lewis (MIVA)",Jr.,6-9,,6,1,5,6,1.000
16,"Trevor Dow, Harvard (EIVA)",Sr.,6-10,,13,2,11,13,1.000
16,"Hunter Howell, CUI (MPSF)",Sr.,6-7,,10,2,8,10,1.000
16,"Jaylen Jasper, Stanford (MPSF)",So.,6-7,,6,0,6,6,1.000
16,"Justice Lord, Barton (Conference Carolinas)",Sr.,6-7,,4,1,3,4,1.000
16,"Kyler Presho, Stanford (MPSF)",So.,6-8,,6,1,5,6,1.000
22,"Daniel Wetter, CSUN (Big West)",Fr.,6-5,,14,4,9,13,0.929
23,"Alex Shmelev, Grand Canyon (MPSF)",Sr.,6-6,,11,0,10,10,0.909
24,"Caleb Blazer, Grand Canyon (MPSF)",Jr.,6-6,,10,1,8,9,0.900
25,"Karl Apfelbach, UC Irvine (Big West)",Sr.,6-8,,9,0,8,8,0.889
25,"Keenan Sanders, UC Santa Barbara (Big West)",Jr.,6-7,,9,1,7,8,0.889
27,"Jake Romano, Ball St. (MIVA)",Jr.,6-6,,8,0,7,7,0.875
28,"Kaleb Jenness, Ball St. (MIVA)",Fr.,6-6,,7,0,6,6,0.857
28,"Langston Payne, George Mason (EIVA)",Sr.,6-5,,7,2,4,6,0.857
28,"Brandon Rattray, UCLA (MPSF)",Jr.,6-5,,7,0,6,6,0.857
28,"Michael Wexter, Pepperdine (MPSF)",Sr.,6-6,,7,0,6,6,0.857
32,"Tony Price, Purdue Fort Wayne (MIVA)",Sr.,6-4,,6,0,5,5,0.833
33,"Attila Delingat, Princeton (EIVA)",Fr.,6-9,,10,1,7,8,0.800
33,"Carter Eby, North Greenville (Conference Carolinas)",Fr.,6-5,,5,0,4,4,0.800
33,"Stephen Moye, Stanford (MPSF)",Jr.,6-9,,5,0,4,4,0.800
36,"Noah Lassandro, CUI (MPSF)",Fr.,0-0,,9,2,5,7,0.778
37,"George Huhmann, Princeton (EIVA)",Jr.,6-11,,13,1,9,10,0.769
38,"Jason Donorovich, Penn St. (EIVA)",Jr.,6-9,,4,0,3,3,0.750
38,"Canyon Tuman, Penn St. (EIVA)",Fr.,6-6,,4,0,3,3,0.750
38,"Enrique de Diego Garcia, NJIT (Independent)",Sr.,6-5,,8,1,5,6,0.750
41,"Max Chamberlain, Pepperdine (MPSF)",Sr.,6-6,,7,0,5,5,0.714
41,"Reese Devilbiss, Ohio St. (MIVA)",Jr.,6-2,,7,0,5,5,0.714
41,"Blake Leeson, Ohio St. (MIVA)",Sr.,6-7,,7,0,5,5,0.714
44,"Richie Diedrich, Purdue Fort Wayne (MIVA)",Jr.,6-9,,6,0,4,4,0.667
44,"Julian Moses, Lewis (MIVA)",Sr.,6-4,,6,0,4,4,0.667
44,"Joel Schneidmiller, UC Irvine (Big West)",So.,6-6,,9,0,6,6,0.667
44,"Will Schwob, Grand Canyon (MPSF)",Sr.,6-4,,9,3,3,6,0.667
44,"Eugene Stuart, Charleston (WV) (EIVA)",Sr.,6-7,,3,0,2,2,0.667
44,"Matt Yoshimoto, Lewis (MIVA)",Sr.,6-5,,6,0,4,4,0.667
50,"Ksawery Tomsia, CSUN (Big West)",Jr.,6-7,,11,0,7,7,0.636
51,"Parker Swartz, Ball St. (MIVA)",Sr.,6-5,,8,0,5,5,0.625
52,"Parker Dixon, Princeton (EIVA)",Jr.,6-6,,13,0,8,8,0.615
52,"Greg Luck, Princeton (EIVA)",Jr.,6-5,,13,0,8,8,0.615
54,"Brandon Baker, North Greenville (Conference Carolinas)",So.,6-6,,5,0,3,3,0.600
54,"Paul Bischoff, Stanford (MPSF)",Jr.,6-5,,5,1,2,3,0.600
54,"Jordan Hoppe, CUI (MPSF)",Jr.,0-0,,10,0,6,6,0.600
