Rank,Player,Cl,Ht,Pos,S,Digs,Per Set
1,"Nicklas Eichenberger, Emmanuel (GA) (Conference Carolinas)",So.,5-11,L,5,17,3.40
1,"Tristan Schraudner, Mount Olive (Conference Carolinas)",Fr.,6-0,L,5,17,3.40
3,"Bradley Peters, Lees-McRae (Conference Carolinas)",Jr.,6-2,S,3,9,3.00
3,"Gregory Torres, North Greenville (Conference Carolinas)",Fr.,6-4,OH,3,9,3.00
3,"Eli Zdonek, Emmanuel (GA) (Conference Carolinas)",So.,6-0,S,5,15,3.00
6,"Ethan Carroll, McKendree (MIVA)",Sr.,6-8,OH,8,23,2.88
7,"Matt Palma, UC San Diego (Big West)",Sr.,6-0,L,7,19,2.71
8,"Max Kuntz, Lees-McRae (Conference Carolinas)",Sr.,6-4,OH,3,8,2.67
8,"Steven Nalls, Lees-McRae (Conference Carolinas)",Jr.,6-0,L,3,8,2.67
10,"Matthew Maxwell, Belmont Abbey (Conference Carolinas)",Jr.,5-10,L,8,21,2.63
10,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,OH,8,21,2.63
12,"Cole Udall, Grand Canyon (MPSF)",Jr.,6-3,L,14,36,2.57
13,"Troy Gooch, Purdue Fort Wayne (MIVA)",Sr.,6-0,L,6,15,2.50
14,"Dane Loup, Tusculum (DI Independent)",So.,6-0,OH,7,17,2.43
15,"Jon Diedrich, Purdue Fort Wayne (MIVA)",Jr.,6-6,OPP,6,14,2.33
16,"Brandon Browning, Southern California (MPSF)",Sr.,6-4,OH,14,32,2.29
16,"Ryan Ka, UC San Diego (Big West)",Jr.,6-3,OH,7,16,2.29
18,"Carlos Guerrero, Emmanuel (GA) (Conference Carolinas)",So.,6-4,MB,5,11,2.20
19,"Colin Ensalaco, Ball St. (MIVA)",Sr.,6-1,L,6,13,2.17
20,"Charlie Siragusa, UC San Diego (Big West)",Sr.,6-9,OH,7,15,2.14
21,"Omar Hoyos, George Mason (EIVA)",So.,6-6,OH,8,17,2.13
21,"Ryan Serrano, McKendree (MIVA)",Sr.,6-4,S,8,17,2.13
23,"Alex Ruiz, Erskine (Conference Carolinas)",Fr.,5-10,L,10,21,2.10
23,"Jason Shen, Harvard (EIVA)",Sr.,5-11,L,10,21,2.10
25,"M.J. Doyle, Lees-McRae (Conference Carolinas)",Jr.,6-2,OH,3,6,2.00
25,"Alex Nikolov, Long Beach St. (Big West)",Fr.,6-7,OH,3,6,2.00
25,"Zach Talamoa, George Mason (EIVA)",Jr.,5-11,S,7,14,2.00
28,"Blake Liprando, Saint Francis (EIVA)",Jr.,6-3,OH,10,19,1.90
29,"Francisco Comas, McKendree (MIVA)",Sr.,5-6,L,8,15,1.88
30,"Heath Hughes, Grand Canyon (MPSF)",Jr.,6-7,S,14,26,1.86
31,"Hugo Fischer, Grand Canyon (MPSF)",Sr.,6-8,OPP,14,25,1.79
32,"Danny Seliger, LIU (DI Independent)",Fr.,5-11,L,9,16,1.78
33,"Jack Bolz, George Mason (EIVA)",So.,6-7,OPP,8,14,1.75
34,"Kyle McCauley, UC San Diego (Big West)",Sr.,6-4,OH,7,12,1.71
35,"Spencer Olivier, Long Beach St. (Big West)",Jr.,6-6,OH,3,5,1.67
36,"Kasey Clouet, LIU (DI Independent)",Fr.,6-6,S,8,13,1.63
37,"Nick Martinski, Ball St. (MIVA)",Sr.,6-7,OH,5,8,1.60
37,"Henrik Westhoff, Emmanuel (GA) (Conference Carolinas)",Jr.,6-6,S,5,8,1.60
39,"Matthew Menosky, Saint Francis (EIVA)",So.,6-0,L,11,17,1.55
40,"Brendon Dunn, McKendree (MIVA)",Sr.,6-4,OH,6,9,1.50
40,"Colin Heath, George Mason (EIVA)",So.,6-6,OH,8,12,1.50
40,"Cole Paxson, Southern California (MPSF)",Sr.,5-11,L,14,21,1.50
40,"Ryan Pecsok, UC Santa Barbara (Big West)",So.,5-10,L,12,18,1.50
44,"Colby Landry, Tusculum (DI Independent)",So.,6-0,OH,7,10,1.43
45,"Tobi Azeez, Mount Olive (Conference Carolinas)",Jr.,6-4,OH,5,7,1.40
45,"Sam Collins, UC Santa Barbara (Big West)",So.,6-2,OH,10,14,1.40
45,"Dominic Hagerty, Mount Olive (Conference Carolinas)",So.,6-3,S,5,7,1.40
48,"Julian Meissner, NJIT (EIVA)",Jr.,6-7,,8,11,1.38
48,"Caden Satterfield, LIU (DI Independent)",Jr.,6-3,OH,8,11,1.38
50,"Bryce Behrendt, Ball St. (MIVA)",Jr.,6-4,OH,6,8,1.33
50,"Parker Mikesch, Ohio St. (MIVA)",Sr.,5-11,L,9,12,1.33
50,"Jacob Pasteur, Ohio St. (MIVA)",So.,6-4,OH,9,12,1.33
