Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Pct.
1,"Merrick McHenry, UCLA (MPSF)",Sr.,6-7,OH,99,224,30,361,0.537
2,"Toby Ezeonu, Penn St. (EIVA)",Jr.,6-7,MB,98,204,31,348,0.497
3,"Matthew Gentry, Lincoln Memorial (DI Independent)",So.,6-7,MH,84,178,38,288,0.486
4,"Henry Moffitt, Daemen (NEC)",Sr.,6-6,MH,86,165,26,310,0.448
5,"Michael de la Cruz, North Greenville (Conference Carolinas)",So.,6-3,MB,101,289,64,520,0.433
6,"Pedro Gonzalez, Mount Olive (Conference Carolinas)",Sr.,6-7,MB,99,214,46,391,0.430
7,"Kellan Kennedy, King (TN) (Conference Carolinas)",Jr.,6-6,MB,117,275,75,469,0.426
8,"Ace Backer, Lees-McRae (Conference Carolinas)",Sr.,6-6,MB,79,166,34,310,0.426
9,"Akin Akinwumi, Pepperdine (MPSF)",Sr.,6-5,OH,112,206,50,375,0.416
10,"Emanuel Adames, North Greenville (Conference Carolinas)",Jr.,6-6,MB,101,234,48,454,0.410
11,"Dimitrios Mouchlias, Hawaii (Big West)",Jr.,6-6,OPP,90,356,87,678,0.397
12,"Ife Loverton, Sacred Heart (NEC)",Sr.,6-5,OH,93,186,46,359,0.390
13,"Cal Fisher, Penn St. (EIVA)",Sr.,6-3,OPP,76,261,63,536,0.369
14,"D'Aaron McCraney, Central St. (OH) (SIAC)",So.,6-8,MB,110,242,62,488,0.369
15,"Ido David, UCLA (MPSF)",So.,6-7,OH,91,322,98,614,0.365
16,"Matthew Pilch, Queens (NC) (DI Independent)",So.,6-3,OH,83,294,67,623,0.364
17,"Jaylen Jasper, Pepperdine (MPSF)",Sr.,6-7,OH,109,544,183,991,0.364
18,"Luuk Hoge Bavel, Charleston (WV) (EIVA)",So.,6-6,OH,75,210,53,434,0.362
19,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,83,318,89,635,0.361
20,"Spencer Olivier, Long Beach St. (Big West)",Sr.,6-6,OH,84,231,60,478,0.358
21,"Kaleb Jenness, Ball St. (MIVA)",Sr.,6-6,OH,98,359,95,766,0.345
22,"Jackson Hickman, Grand Canyon (MPSF)",Jr.,6-4,OH,104,319,97,649,0.342
23,"Ethan Champlin, UCLA (MPSF)",Jr.,6-3,OH,99,269,81,550,0.342
24,"Alex Knight, UCLA (MPSF)",Sr.,6-5,OH,85,206,53,452,0.338
24,"Parker Van Buren, Loyola Chicago (MIVA)",So.,6-9,OH,102,421,115,904,0.338
26,"Shay Spadaro, Lincoln Memorial (DI Independent)",Fr.,6-4,OH,78,224,69,464,0.334
27,"Shane Wetzel, Ohio St. (MIVA)",Fr.,6-7,OPP,92,265,94,515,0.332
28,"Bryce Walker, Purdue Fort Wayne (MIVA)",Jr.,6-8,MB,105,229,72,473,0.332
29,"Shaphar Grant, Tusculum (DI Independent)",Sr.,6-3,MB,89,164,56,328,0.329
30,"Tinaishe Ndavazocheva, Ball St. (MIVA)",So.,6-6,OH,95,342,117,685,0.328
31,"Spyros Chakas, Hawaii (Big West)",Jr.,6-4,OH,90,315,94,677,0.326
32,"Cole Gillis, UC Irvine (Big West)",Jr.,6-5,OH,96,243,74,519,0.326
33,"Benjamin Wiechert, Barton (Conference Carolinas)",So.,6-6,MB,84,160,56,320,0.325
34,"Albert Warzocha, Limestone (DI Independent)",So.,6-3,OH,74,271,94,551,0.321
35,"Matthew Motes, Merrimack (NEC)",Jr.,0-0,MB,97,205,71,420,0.319
36,"Cole Campisano, Lincoln Memorial (DI Independent)",Jr.,6-3,OH,82,248,84,515,0.318
37,"Xander Thesz, Merrimack (NEC)",Sr.,0-0,MB,99,205,67,434,0.318
