Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
1,"Michael Marsans, Lees-McRae (Conference Carolinas)",Jr.,6-5,OH,3,18,6.00
2,"Clarke Godbold, Long Beach St. (Big West)",So.,6-5,OH,3,14,4.67
3,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Jr.,6-2,OH,7,32,4.57
4,"Jon Diedrich, Purdue Fort Wayne (MIVA)",Jr.,6-6,OPP,6,27,4.50
5,"Kyle McCauley, UC San Diego (Big West)",Sr.,6-4,OH,7,31,4.43
6,"Bryce Walker, Purdue Fort Wayne (MIVA)",So.,6-8,MB,6,23,3.83
7,"Tobi Azeez, Mount Olive (Conference Carolinas)",Jr.,6-4,OH,5,19,3.80
7,"Jayden Young, Emmanuel (GA) (Conference Carolinas)",Jr.,6-2,OH,5,19,3.80
9,"Camden Gianni, Grand Canyon (MPSF)",So.,6-5,OH,14,53,3.79
10,"Simon Gallas, Southern California (MPSF)",So.,6-8,OPP,14,51,3.64
11,"Haotian Xia, UC Santa Barbara (Big West)",Jr.,6-5,OPP,11,40,3.64
12,"Jacob Pasteur, Ohio St. (MIVA)",So.,6-4,OH,9,31,3.44
13,"Caden Satterfield, LIU (DI Independent)",Jr.,6-3,OH,8,26,3.25
14,"Hugo Fischer, Grand Canyon (MPSF)",Sr.,6-8,OPP,14,45,3.21
15,"Ben Harrington, Princeton (EIVA)",So.,6-4,,5,16,3.20
16,"Bryce Behrendt, Ball St. (MIVA)",Jr.,6-4,OH,6,19,3.17
16,"Kade Bontrager, Purdue Fort Wayne (MIVA)",Sr.,6-0,OH,6,19,3.17
18,"Jack Bolz, George Mason (EIVA)",So.,6-7,OPP,8,25,3.13
18,"Julian Meissner, NJIT (EIVA)",Jr.,6-7,,8,25,3.13
20,"Ryan Wilcox, UC Santa Barbara (Big West)",Jr.,6-2,OH,12,37,3.08
21,"Sam Kobrine, Southern California (MPSF)",Sr.,6-3,OH,13,40,3.08
22,"Omar Hoyos, George Mason (EIVA)",So.,6-6,OH,8,24,3.00
22,"Alessandro Negri, NJIT (EIVA)",Fr.,6-4,OH,8,24,3.00
22,"Eli Zdonek, Emmanuel (GA) (Conference Carolinas)",So.,6-0,S,5,15,3.00
25,"Ethan Carroll, McKendree (MIVA)",Sr.,6-8,OH,8,23,2.88
25,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,OH,8,23,2.88
27,"Ryan Ka, UC San Diego (Big West)",Jr.,6-3,OH,7,20,2.86
28,"Davide Gardini, BYU (MPSF)",Sr.,6-9,OH,6,17,2.83
28,"Nyherowo Omene, Princeton (EIVA)",Fr.,6-7,,6,17,2.83
30,"AJ Lewis, Lindenwood (MIVA)",Jr.,6-5,OH,8,22,2.75
30,"Diego Rosich, North Greenville (Conference Carolinas)",So.,6-5,OH,4,11,2.75
32,"Campbell Schoenfeld, Harvard (EIVA)",Sr.,6-8,OH,10,27,2.70
33,"Diego Negron, Lindenwood (MIVA)",Sr.,6-5,OH,9,24,2.67
33,"Alex Nikolov, Long Beach St. (Big West)",Fr.,6-7,OH,3,8,2.67
33,"Spencer Olivier, Long Beach St. (Big West)",Jr.,6-6,OH,3,8,2.67
33,"Gregory Torres, North Greenville (Conference Carolinas)",Fr.,6-4,OH,3,8,2.67
37,"Alex Ah Sue, BYU (MPSF)",Sr.,6-4,OPP,5,13,2.60
37,"Carlos Guerrero, Emmanuel (GA) (Conference Carolinas)",So.,6-4,MB,5,13,2.60
37,"Dominic Hagerty, Mount Olive (Conference Carolinas)",So.,6-3,S,5,13,2.60
40,"Samuel Clark, Ohio St. (MIVA)",Jr.,6-6,MB,8,20,2.50
41,"Blake Liprando, Saint Francis (EIVA)",Jr.,6-3,OH,10,24,2.40
41,"Nick Martinski, Ball St. (MIVA)",Sr.,6-7,OH,5,12,2.40
43,"Logan Clark, UC San Diego (Big West)",Sr.,6-7,MB,7,16,2.29
43,"Brian Knoerr, Belmont Abbey (Conference Carolinas)",Fr.,6-5,OPP,7,16,2.29
43,"Jake Somers, Belmont Abbey (Conference Carolinas)",Sr.,6-4,OH,7,16,2.29
43,"Jacob Whyte, Tusculum (DI Independent)",Jr.,6-4,RS,7,16,2.29
