Rank,Player,Cl,Ht,Pos,S,Kills,Aces,Block Solos,Block Assists,Per Set
1,"Blake Reardon, Ball St. (MIVA)",Sr.,6-4,OH,9,49,3,1,4,6.11
2,"Andrew Kohut, Belmont Abbey (Conference Carolinas)",Jr.,6-6,OPP,4,20,0,0,3,5.38
3,"Cole Schlothauer, Loyola Chicago (MIVA)",So.,6-5,,7,33,0,0,5,5.07
4,"Luke Denton, Loyola Chicago (MIVA)",Jr.,6-6,,7,27,4,0,5,4.79
5,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,OH,10,37,7,0,7,4.75
6,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,,3,10,1,1,4,4.67
7,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,OH,4,13,3,1,2,4.50
8,"Tyler Mitchem, Lewis (MIVA)",Sr.,6-10,MB,10,29,4,4,15,4.45
9,"Kacper Rybarczyk, Erskine (Conference Carolinas)",Fr.,6-3,OH,11,35,7,3,7,4.41
10,"Shaun Kampshoff, Tusculum (DI Independent)",Jr.,6-4,RS,7,25,5,0,1,4.36
11,"Justin Sharfenaker, Lincoln Memorial (DI Independent)",Fr.,6-6,,13,47,5,0,9,4.35
12,"Omari Wheeler, Quincy (MIVA)",Sr.,6-5,OPP,9,34,0,0,9,4.28
13,"Joshua Kim, King (TN) (Conference Carolinas)",Sr.,6-6,RS,5,19,2,0,0,4.20
14,"Kaleb Jenness, Ball St. (MIVA)",Jr.,6-6,OH,9,29,3,2,7,4.17
15,"Lucas Galifos, McKendree (MIVA)",Sr.,6-6,,3,6,0,0,10,3.67
16,"Jack Bolz, George Mason (EIVA)",Fr.,6-7,,9,29,0,2,3,3.61
16,"Michael Ladner, Quincy (MIVA)",So.,6-3,OH,9,24,6,0,5,3.61
18,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Sr.,6-2,OH,4,12,2,0,0,3.50
18,"Jacob Pasteur, Ohio St. (MIVA)",Fr.,6-4,OH,6,18,1,0,4,3.50
20,"Jacob Whyte, Erskine (Conference Carolinas)",Fr.,6-4,OPP,10,26,6,0,4,3.40
21,"Nic Cavallaro, Queens (NC) (DI Independent)",Sr.,6-3,OH,14,38,5,1,3,3.25
22,"Francisco Salinger, Limestone (DI Independent)",Sr.,6-5,OH,8,24,0,0,3,3.19
23,"Jack Reese, George Mason (EIVA)",Sr.,6-8,,9,18,0,5,9,3.06
24,"Brandon Baker, North Greenville (Conference Carolinas)",Sr.,6-6,MB,4,8,0,1,6,3.00
25,"Joshua Blair, Saint Francis (EIVA)",Jr.,6-5,,16,37,5,2,7,2.97
26,"Zac Cabral, Saint Francis (EIVA)",So.,6-10,,14,29,3,2,13,2.89
27,"Zach Reider, Quincy (MIVA)",Sr.,6-7,MB,7,11,2,2,10,2.86
27,"Geraldo Rivera, Limestone (DI Independent)",Sr.,6-0,OH,7,20,0,0,0,2.86
29,"Jacob Titus, Lincoln Memorial (DI Independent)",So.,6-4,,10,25,2,0,3,2.85
30,"Andrew Nielsen, Alderson Broaddus (DI Independent)",Fr.,6-7,MB,3,5,0,3,1,2.83
30,"Zach Schnittker, McKendree (MIVA)",Sr.,6-4,,3,8,0,0,1,2.83
32,"Johansen Negron, Lincoln Memorial (DI Independent)",So.,6-2,,11,25,5,0,2,2.82
33,"Alexander Finch, Saint Francis (EIVA)",So.,6-3,,16,40,4,0,1,2.78
34,"Brad Creamer, George Mason (EIVA)",Sr.,6-9,,9,18,1,1,10,2.78
35,"Colton Brooks, Loyola Chicago (MIVA)",So.,6-4,,6,12,2,0,4,2.67
36,"Emanuel Adames, North Greenville (Conference Carolinas)",Fr.,6-6,MB,4,8,2,0,1,2.63
37,"Samuel Clark, Ohio St. (MIVA)",So.,6-6,MB,6,7,4,0,7,2.42
37,"Cal Fisher, Penn St. (EIVA)",Jr.,6-3,OPP,6,10,4,0,1,2.42
39,"Jason Sall, Erskine (Conference Carolinas)",Fr.,6-3,OH,10,19,1,3,1,2.35
40,"Ryan Serrano, McKendree (MIVA)",Jr.,6-3,,3,2,2,1,4,2.33
41,"Spencer Saint-Eloi, Limestone (DI Independent)",Sr.,6-1,OPP,8,16,2,0,1,2.31
42,"Jon Fuller, Erskine (Conference Carolinas)",Fr.,6-3,MB,11,17,2,3,6,2.27
43,"Pedro Carvalho, Lincoln Memorial (DI Independent)",Sr.,6-7,,13,24,2,2,3,2.27
44,"Riley Mulkey, Belmont Abbey (Conference Carolinas)",Jr.,6-5,MB,4,6,1,1,2,2.25
45,"Diego Marcano, King (TN) (Conference Carolinas)",So.,6-2,RS,5,7,1,2,2,2.20
46,"Cole Vigo, Erskine (Conference Carolinas)",So.,6-6,MB,11,13,4,0,14,2.18
47,"Ethan Carroll, McKendree (MIVA)",Sr.,6-8,,3,3,2,0,3,2.17
48,"Colby Landry, Tusculum (DI Independent)",Fr.,6-1,OH,7,12,3,0,0,2.14
49,"Will Hippe, Ball St. (MIVA)",Sr.,6-8,MH,9,12,1,1,10,2.11
50,"Tim Baldwin, Ohio St. (MIVA)",So.,6-6,OPP,5,7,2,0,3,2.10
51,"Dawson Walker, Lincoln Memorial (DI Independent)",So.,6-6,,12,14,1,1,18,2.08
52,"Nic Brewster, Lees-McRae (Conference Carolinas)",Fr.,6-4,OH,3,6,0,0,0,2.00
52,"Gannon Chinen, Alderson Broaddus (DI Independent)",Fr.,6-3,RS,3,6,0,0,0,2.00
52,"Max Kuntz, Lees-McRae (Conference Carolinas)",Jr.,6-3,OH,3,4,2,0,0,2.00
52,"JP Payne, Queens (NC) (DI Independent)",Sr.,6-4,MH,20,26,1,5,16,2.00
56,"Sergio Carrillo, North Greenville (Conference Carolinas)",Jr.,6-5,S,4,2,1,2,5,1.88
56,"Luis Kannee, North Greenville (Conference Carolinas)",Sr.,6-3,OPP,4,7,0,0,1,1.88
58,"Tommy McGrath, McKendree (MIVA)",Jr.,6-7,,3,5,0,0,1,1.83
59,"Jon Igo, Limestone (DI Independent)",Jr.,6-7,MB,8,8,1,4,3,1.81
60,"Andrew Lyons, Loyola Chicago (MIVA)",So.,6-7,,7,9,1,0,5,1.79
61,"Richie Hoff, George Mason (EIVA)",Jr.,6-4,,9,13,1,0,4,1.78
62,"Jake Somers, Belmont Abbey (Conference Carolinas)",Sr.,6-4,OH,4,6,0,0,2,1.75
63,"TJ Murray, Lewis (MIVA)",Sr.,6-9,MB,9,10,0,0,11,1.72
64,"Bryce Behrendt, Ball St. (MIVA)",So.,6-4,OH,7,10,0,0,4,1.71
64,"Jack Brinkman, Queens (NC) (DI Independent)",So.,6-2,OH,14,19,2,1,4,1.71
64,"Omar Hoyos, George Mason (EIVA)",Fr.,6-6,,7,11,0,0,2,1.71
67,"Aaron Milstead, King (TN) (Conference Carolinas)",Jr.,6-4,RS,5,6,2,0,1,1.70
68,"Ace Backer, Lees-McRae (Conference Carolinas)",So.,6-6,MH,3,4,1,0,0,1.67
68,"Loic Nanchen, Alderson Broaddus (DI Independent)",Fr.,6-3,OH,3,4,1,0,0,1.67
68,"Bradley Peters, Lees-McRae (Conference Carolinas)",So.,6-2,S,3,2,2,1,0,1.67
71,"Cole Brillhart, Lewis (MIVA)",So.,6-2,OH,10,12,0,0,9,1.65
71,"Kevin Kauling, Lewis (MIVA)",So.,6-8,S,10,7,6,0,7,1.65
73,"William Morris, Belmont Abbey (Conference Carolinas)",Sr.,6-5,MB,4,3,0,1,5,1.63
74,"Jimmy Meinhart, Loyola Chicago (MIVA)",Fr.,6-8,MB,7,5,0,0,12,1.57
75,"Cooper Coleman, Quincy (MIVA)",Jr.,6-11,MH,9,8,1,2,6,1.56
76,"Jackson Carroll, King (TN) (Conference Carolinas)",So.,6-2,OH,5,7,0,0,1,1.50
76,"Austin Gerwig, Ohio St. (MIVA)",Sr.,6-6,MB,6,8,0,0,2,1.50
76,"Brett Wildman, Penn St. (EIVA)",Jr.,6-5,OH,6,8,1,0,0,1.50
76,"Garrett Zolg, Loyola Chicago (MIVA)",Sr.,6-3,,7,2,5,1,5,1.50
80,"Tom Curry, North Greenville (Conference Carolinas)",Fr.,6-2,OH,4,4,1,0,1,1.38
81,"Dane Loup, Tusculum (DI Independent)",Fr.,6-2,OH,7,8,0,0,3,1.36
82,"Jaelin Gray, Alderson Broaddus (DI Independent)",Fr.,6-1,MB,3,4,0,0,0,1.33
82,"Michael Marsans, Lees-McRae (Conference Carolinas)",So.,6-4,OH,3,4,0,0,0,1.33
84,"Christos Gkitersos, Limestone (DI Independent)",So.,6-4,S,8,7,1,0,5,1.31
85,"Felix Egharevba, Ball St. (MIVA)",Jr.,6-5,MH,7,7,0,0,4,1.29
86,"Quinn Isaacson, Ball St. (MIVA)",Sr.,6-2,S,9,5,3,0,5,1.17
87,"AJ Drooker, King (TN) (Conference Carolinas)",Fr.,6-3,S,5,2,2,1,0,1.00
88,"Josh Bragg, Queens (NC) (DI Independent)",Sr.,6-4,OH,18,16,0,0,3,0.97
89,"Juan Alcoba, Erskine (Conference Carolinas)",Fr.,6-3,S,11,3,4,1,5,0.95
90,"Kellan Kennedy, King (TN) (Conference Carolinas)",Fr.,6-6,MB,5,3,0,0,2,0.80
90,"Luke Lentin, Ohio St. (MIVA)",Jr.,6-3,S,5,1,2,0,2,0.80
92,"Lucas Blanco, Tusculum (DI Independent)",So.,6-3,S,7,1,3,0,3,0.79
93,"Che' Arbo, Alderson Broaddus (DI Independent)",Fr.,6-1,S,3,1,0,1,0,0.67
93,"Ethan Gardner, Lees-McRae (Conference Carolinas)",Sr.,6-5,MB,3,2,0,0,0,0.67
95,"Jack Wozniak, Tusculum (DI Independent)",Fr.,6-5,MB,7,4,0,0,1,0.64
