Rank,Player,Cl,Ht,Pos,S,Kills,Aces,Block Solos,Block Assists,Pts,Per Set
1,"Ras Jesse Delancy, Benedict (SIAC)",So.,6-6,OH,69,371,23,22,13,0,6.12
2,"Jaylen Jasper, Pepperdine (MPSF)",Sr.,6-7,OH,109,544,20,9,47,0,5.47
3,"Raje Alleyne, Quincy (MIVA)",So.,6-6,OH,93,393,30,20,35,0,4.95
4,"Parker Van Buren, Loyola Chicago (MIVA)",So.,6-9,OH,102,421,46,6,59,0,4.93
5,"Jamal Ellis Carballo, FDU (NEC)",Fr.,6-6,OPP,66,282,15,14,28,0,4.92
6,"Dimitrios Mouchlias, Hawaii (Big West)",Jr.,6-6,OPP,90,356,34,6,71,0,4.79
7,"Nate Meyer, Missouri S&T (DI Independent)",Fr.,6-3,OH,71,278,43,8,16,0,4.75
8,"Francesco Sani, UC Irvine (Big West)",Jr.,6-8,OH,108,421,48,8,66,0,4.72
9,"Hilir Henno, UC Irvine (Big West)",So.,6-8,OH,99,343,87,4,34,0,4.56
10,"Jacob Pasteur, Ohio St. (MIVA)",Jr.,6-4,OH,119,464,40,6,58,0,4.53
11,"Uriel Batista, CUI (MPSF)",Sr.,6-4,OPP,90,353,26,11,31,0,4.51
12,"Patrick Rogers, St. Francis Brooklyn (NEC)",Fr.,6-6,OH,80,315,24,7,26,0,4.49
13,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Sr.,6-2,OH,108,435,21,11,35,0,4.49
14,"Cal Fisher, Penn St. (EIVA)",Sr.,6-3,OPP,76,261,51,4,48,0,4.47
15,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,83,318,25,17,21,0,4.46
16,"Albert Warzocha, Limestone (DI Independent)",So.,6-3,OH,74,271,35,5,31,0,4.41
17,"Ben Harrington, Princeton (EIVA)",Jr.,6-4,,95,334,65,1,36,0,4.40
18,"Jon Diedrich, Purdue Fort Wayne (MIVA)",Sr.,6-6,OPP,104,389,33,5,54,0,4.37
19,"Kaelen Ingram, Edward Waters (SIAC)",So.,6-6,OH,59,215,21,5,27,0,4.31
20,"Ido David, UCLA (MPSF)",So.,6-7,OH,91,322,38,4,52,0,4.29
21,"Ryan Ka, UC San Diego (Big West)",Sr.,6-3,OH,86,334,10,9,29,0,4.27
