Team 1,Team 1 Score,Team 2,Team 2 Score,Date
Mount Union,,Alderson Broaddus,,01-19-2021
Maranatha Baptist,,Erskine,,01-22-2021
Ball St.,,George Mason,,01-22-2021
Georgetown (KY),,Lindenwood (MO),,01-22-2021
Lancaster Bible,,Erskine,,01-23-2021
Ball St.,,George Mason,,01-23-2021
King (TN),,Saint Francis (PA),,01-23-2021
Limestone,,Belmont Abbey,,01-23-2021
Alderson Broaddus,,St. Andrews,,01-23-2021
Southern Va.,,George Mason,,01-29-2021
Saint Francis (PA),,Penn St.,,02-04-2021
Sacred Heart,,NJIT,,02-05-2021
Emmanuel (GA),,Mount Olive,,02-05-2021
Charleston (WV),,George Mason,,02-05-2021
Saint Francis (PA),,Penn St.,,02-06-2021
Quincy,,Purdue Fort Wayne,,02-12-2021
Emmanuel (GA),,Belmont Abbey,,02-12-2021
North Greenville,,Erskine,,02-12-2021
Alderson Broaddus,,Queens (NC),,02-12-2021
Barton,,Lees-McRae,,02-12-2021
Mount Olive,,King (TN),,02-12-2021
Charleston (WV),,Saint Francis (PA),,02-12-2021
George Mason,,Sacred Heart,,02-12-2021
Concordia (CA),,Grand Canyon,,02-12-2021
Limestone,,Erskine,,02-13-2021
Mount Olive,,Lees-McRae,,02-13-2021
Barton,,King (TN),,02-13-2021
Southern California,,UCLA,,02-13-2021
Lincoln Memorial,,Emmanuel (GA),,02-13-2021
Charleston (WV),,Saint Francis (PA),,02-13-2021
Lees-McRae,,Emmanuel (GA),,02-19-2021
NJIT,,Charleston (WV),,02-19-2021
Quincy,,McKendree,,02-19-2021
Saint Francis (PA),,George Mason,,02-19-2021
Purdue Fort Wayne,,Lewis,,02-19-2021
Barton,,North Greenville,,02-19-2021
King (TN),,Erskine,,02-19-2021
Alderson Broaddus,0,Juniata,3,02-20-2021
Hawaii,3,UC Irvine,1,02-21-2021
Hawaii,3,UC Irvine,0,02-22-2021
Pepperdine,,Southern California,,02-24-2021
Medaille,3,D'Youville,0,02-24-2021
Hawaii,3,UC San Diego,0,02-24-2021
North Greenville,,King (TN),,02-24-2021
Concordia (CA),,UCLA,,02-25-2021
BYU,,Grand Canyon,,02-25-2021
Hawaii,3,UC San Diego,0,02-25-2021
Elmira,0,Daemen,3,02-26-2021
Mount Olive,,Emmanuel (GA),,02-28-2021
Barton,,Erskine,,02-28-2021
Barton,2,Emmanuel (GA),3,03-01-2021
Mount Olive,,Erskine,,03-01-2021
Concordia (CA),0,UCLA,3,03-02-2021
Lees-McRae,0,Limestone,3,03-02-2021
UC San Diego,1,UC Santa Barbara,3,03-03-2021
Queens (NC),3,Belmont Abbey,0,03-03-2021
King (TN),0,North Greenville,3,03-03-2021
Stanford,0,Pepperdine,3,03-03-2021
UC San Diego,0,UC Santa Barbara,3,03-04-2021
Emmanuel (GA),0,North Greenville,3,03-04-2021
Erskine,0,Lincoln Memorial,3,03-04-2021
BYU,3,Concordia (CA),0,03-04-2021
BYU,3,Southern California,0,03-05-2021
Bluefield Col.,0,Tusculum,3,03-05-2021
Erskine,3,Bluefield Col.,1,03-05-2021
Stanford,1,UCLA,3,03-05-2021
Belmont Abbey,2,Limestone,3,03-05-2021
Daemen,3,Medaille,1,03-05-2021
Erskine,3,Tusculum,0,03-05-2021
King (TN),1,Barton,3,03-05-2021
Lees-McRae,2,Mount Olive,3,03-05-2021
Charleston (WV),0,Penn St.,3,03-05-2021
NJIT,3,George Mason,1,03-05-2021
Sacred Heart,1,Saint Francis (PA),3,03-05-2021
Ball St.,0,Lewis,3,03-05-2021
Lees-McRae,0,Barton,3,03-06-2021
Stanford,1,UCLA,3,03-06-2021
Daemen,3,St. John Fisher,2,03-06-2021
King (TN),3,Mount Olive,2,03-06-2021
Sacred Heart,0,Saint Francis (PA),3,03-06-2021
Concordia (CA),3,Southern California,2,03-06-2021
Ball St.,0,Lewis,3,03-06-2021
Queens (NC),1,North Greenville,3,03-06-2021
Charleston (WV),0,Penn St.,3,03-06-2021
NJIT,3,George Mason,0,03-06-2021
UC Irvine,0,UC Santa Barbara,3,03-07-2021
UC Irvine,1,UC Santa Barbara,3,03-07-2021
D'Youville,3,Medaille,0,03-09-2021
Emmanuel (GA),0,Lincoln Memorial,3,03-09-2021
Jamestown,3,Erskine,1,03-09-2021
Lees-McRae,,Queens (NC),,03-09-2021
Emmanuel (GA),3,Tusculum,1,03-10-2021
Queens (NC),3,King (TN),0,03-10-2021
Jamestown,3,Lees-McRae,1,03-10-2021
Barton,1,Limestone,3,03-10-2021
Sacred Heart,,St. Francis Brooklyn,,03-10-2021
Sacred Heart,,St. Francis Brooklyn,,03-10-2021
Hawaii,3,UC Santa Barbara,1,03-11-2021
