Rank,Team,S,W-L,Aces,Per Set
1,Penn St. (EIVA),6,1-1,14,2.33
2,Erskine (Conference Carolinas),11,2-1,25,2.27
3,Loyola Chicago (MIVA),7,2-0,15,2.14
4,Ohio St. (MIVA),6,1-1,12,2.00
5,Lewis (MIVA),10,3-0,19,1.90
6,Tusculum (DI Independent),7,0-2,13,1.86
7,North Greenville (Conference Carolinas),4,1-0,7,1.75
8,Saint Francis (EIVA),18,1-4,31,1.72
9,Lincoln Memorial (DI Independent),13,1-3,22,1.69
10,Lees-McRae (Conference Carolinas),3,0-1,5,1.67
10,McKendree (MIVA),3,1-0,5,1.67
12,King (TN) (Conference Carolinas),5,2-0,7,1.40
13,Ball St. (MIVA),9,1-1,12,1.33
14,Quincy (MIVA),9,3-0,10,1.11
15,Queens (NC) (DI Independent),20,1-4,22,1.10
16,Belmont Abbey (Conference Carolinas),4,1-0,3,0.75
16,Limestone (DI Independent),8,1-1,6,0.75
18,George Mason (EIVA),9,1-1,4,0.44
19,Alderson Broaddus (DI Independent),3,1-1,1,0.33
