Rank,Team,S,W-L,Block Solos,Block Assists,TB,Per Set
1,McKendree (MIVA),3,1-0,2,23,13.5,4.500
2,Lewis (MIVA),10,3-0,6,60,38.0,3.600
3,Quincy (MIVA),9,3-0,7,44,44.0,3.222
4,George Mason (EIVA),9,1-1,8,39,27.5,3.056
5,North Greenville (Conference Carolinas),4,1-0,4,16,12.0,3.000
6,Loyola Chicago (MIVA),7,2-0,1,37,19.5,2.786
7,Erskine (Conference Carolinas),11,2-1,10,40,30.0,2.727
8,Ball St. (MIVA),9,1-1,5,38,25.0,2.667
9,Penn St. (EIVA),6,1-1,2,26,15.0,2.500
10,Belmont Abbey (Conference Carolinas),4,1-0,2,14,13.0,2.250
11,Queens (NC) (DI Independent),20,1-4,13,57,42.5,2.075
12,Ohio St. (MIVA),6,1-1,0,24,12.0,2.000
13,Lincoln Memorial (DI Independent),13,1-3,3,42,25.0,1.846
14,Saint Francis (EIVA),18,1-4,4,57,32.5,1.806
15,Alderson Broaddus (DI Independent),3,1-1,4,2,5.0,1.667
16,Limestone (DI Independent),8,1-1,4,18,15.0,1.625
17,King (TN) (Conference Carolinas),5,2-0,3,6,6.0,1.200
18,Tusculum (DI Independent),7,0-2,1,14,8.0,1.143
19,Lees-McRae (Conference Carolinas),3,0-1,1,0,1.0,0.333
