Rank,Team,S,W-L,Digs,Per Set
1,Purdue Fort Wayne (MIVA),6,2-0,61,10.17
2,UC Irvine (Big West),9,2-0,88,9.78
3,Loyola Chicago (MIVA),8,1-1,76,9.50
4,UC Santa Barbara (Big West),11,3-0,103,9.36
5,Lewis (MIVA),7,1-1,63,9.00
5,Long Beach St. (Big West),9,3-0,81,9.00
7,NJIT (Independent),8,0-2,71,8.88
8,Pepperdine (MPSF),7,2-0,62,8.86
9,Ohio St. (MIVA),7,2-0,61,8.71
10,Ball St. (MIVA),8,2-0,69,8.63
11,Penn St. (EIVA),4,0-1,33,8.25
12,Queens (NC) (DI Independent),3,0-1,24,8.00
13,CUI (MPSF),10,0-3,76,7.60
14,CSUN (Big West),14,2-1,105,7.50
15,George Mason (EIVA),7,2-0,52,7.43
16,UC San Diego (Big West),7,0-2,51,7.29
17,Grand Canyon (MPSF),11,1-2,79,7.18
18,UCLA (MPSF),7,2-0,49,7.00
19,Harvard (EIVA),13,0-3,87,6.69
20,Princeton (EIVA),13,0-4,79,6.08
21,Stanford (MPSF),6,2-0,36,6.00
21,North Greenville (Conference Carolinas),6,0-2,36,6.00
23,Barton (Conference Carolinas),4,0-1,23,5.75
24,Charleston (WV) (EIVA),3,0-1,12,4.00
