Rank,Team,Kills,W-L,Errors,Total Attacks,Pct.
1,Lewis (MIVA),129,3-0,30,258,0.384
2,Loyola Chicago (MIVA),93,2-0,28,211,0.308
3,Belmont Abbey (Conference Carolinas),48,1-0,17,107,0.290
4,North Greenville (Conference Carolinas),42,1-0,14,97,0.289
5,George Mason (EIVA),114,1-1,45,259,0.266
6,Quincy (MIVA),100,3-0,39,244,0.250
7,Lincoln Memorial (DI Independent),149,1-3,68,339,0.239
8,Ball St. (MIVA),123,1-1,54,293,0.235
9,Erskine (Conference Carolinas),117,2-1,50,288,0.233
10,McKendree (MIVA),34,1-0,16,80,0.225
11,Limestone (DI Independent),88,1-1,42,209,0.220
12,Queens (NC) (DI Independent),186,1-4,85,503,0.201
13,Ohio St. (MIVA),61,1-1,33,141,0.199
14,Saint Francis (EIVA),200,1-4,100,504,0.198
15,Lees-McRae (Conference Carolinas),22,0-1,12,58,0.172
16,King (TN) (Conference Carolinas),44,2-0,23,123,0.171
17,Penn St. (EIVA),46,1-1,25,129,0.163
18,Alderson Broaddus (DI Independent),24,1-1,18,65,0.092
19,Tusculum (DI Independent),57,0-2,44,173,0.075
