Rank,Team,S,W-L,Kills,Per Set
1,Ball St. (MIVA),9,1-1,123,13.67
2,Loyola Chicago (MIVA),7,2-0,93,13.29
3,Lewis (MIVA),10,3-0,129,12.90
4,George Mason (EIVA),9,1-1,114,12.67
5,Belmont Abbey (Conference Carolinas),4,1-0,48,12.00
6,Lincoln Memorial (DI Independent),13,1-3,149,11.46
7,McKendree (MIVA),3,1-0,34,11.33
8,Quincy (MIVA),9,3-0,100,11.11
8,Saint Francis (EIVA),18,1-4,200,11.11
10,Limestone (DI Independent),8,1-1,88,11.00
11,Erskine (Conference Carolinas),11,2-1,117,10.64
12,North Greenville (Conference Carolinas),4,1-0,42,10.50
13,Ohio St. (MIVA),6,1-1,61,10.17
14,Queens (NC) (DI Independent),20,1-4,186,9.30
15,King (TN) (Conference Carolinas),5,2-0,44,8.80
16,Tusculum (DI Independent),7,0-2,57,8.14
17,Alderson Broaddus (DI Independent),3,1-1,24,8.00
18,Penn St. (EIVA),6,1-1,46,7.67
19,Lees-McRae (Conference Carolinas),3,0-1,22,7.33
