Rank,Team,W,L,Pct.
1,St. Francis Brooklyn (NEC),3,0,1.000
1,UCLA (MPSF),3,0,1.000
1,BYU (MPSF),2,0,1.000
1,Grand Canyon (MPSF),2,0,1.000
1,Penn St. (EIVA),2,0,1.000
1,Stanford (MPSF),2,0,1.000
1,UC Irvine (Big West),2,0,1.000
1,CUI (MPSF),1,0,1.000
1,Daemen (NEC),1,0,1.000
1,Emmanuel (GA) (Conference Carolinas),1,0,1.000
1,Erskine (Conference Carolinas),1,0,1.000
1,FDU (NEC),1,0,1.000
1,LIU (NEC),1,0,1.000
1,Loyola Chicago (MIVA),1,0,1.000
1,Pepperdine (MPSF),1,0,1.000
16,Southern California (MPSF),2,1,0.667
17,NJIT (EIVA),1,1,0.500
17,Ohio St. (MIVA),1,1,0.500
17,Princeton (EIVA),1,1,0.500
17,Purdue Fort Wayne (MIVA),1,1,0.500
21,CSUN (Big West),1,2,0.333
21,Lewis (MIVA),1,2,0.333
21,McKendree (MIVA),1,2,0.333
21,UC San Diego (Big West),1,2,0.333
21,UC Santa Barbara (Big West),1,2,0.333
26,Belmont Abbey (Conference Carolinas),1,3,0.250
26,Lincoln Memorial (DI Independent),1,3,0.250
28,American Int'l (DI Independent),0,2,0.000
28,Central St. (OH) (SIAC),0,2,0.000
28,King (TN) (Conference Carolinas),0,1,0.000
28,Lindenwood (MIVA),0,2,0.000
28,Saint Francis (NEC),0,2,0.000
28,Tusculum (DI Independent),0,2,0.000
