Rank,Team,S,W-L,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
1,Erskine (Conference Carolinas),3,1-0,26,29,88,-0.034
2,UCLA (MPSF),9,3-0,72,53,201,0.095
3,St. Francis Brooklyn (NEC),9,3-0,72,49,217,0.106
4,CUI (MPSF),3,1-0,28,19,83,0.108
5,Loyola Chicago (MIVA),3,1-0,27,17,80,0.125
6,Penn St. (EIVA),8,2-0,74,45,205,0.141
7,LIU (NEC),3,1-0,28,16,78,0.154
8,FDU (NEC),4,1-0,37,18,98,0.194
9,Pepperdine (MPSF),3,1-0,31,14,87,0.195
10,Daemen (NEC),4,1-0,42,20,108,0.204
11,Princeton (EIVA),7,1-1,78,38,190,0.211
12,Emmanuel (GA) (Conference Carolinas),4,1-0,45,22,109,0.211
13,BYU (MPSF),7,2-0,69,34,160,0.219
14,Purdue Fort Wayne (MIVA),6,1-1,64,30,149,0.228
15,NJIT (EIVA),7,1-1,82,41,174,0.236
16,CSUN (Big West),9,1-2,93,44,204,0.240
17,Grand Canyon (MPSF),7,2-0,88,37,204,0.250
17,King (TN) (Conference Carolinas),3,0-1,28,12,64,0.250
19,McKendree (MIVA),10,1-2,108,43,247,0.263
20,Stanford (MPSF),9,2-0,94,37,209,0.273
21,Ohio St. (MIVA),7,1-1,76,29,169,0.278
22,Belmont Abbey (Conference Carolinas),13,1-3,147,57,318,0.283
23,Southern California (MPSF),12,2-1,135,52,292,0.284
24,Tusculum (DI Independent),7,0-2,90,32,194,0.299
25,Lincoln Memorial (DI Independent),16,1-3,188,64,406,0.305
26,UC Santa Barbara (Big West),12,1-2,140,45,306,0.310
27,Central St. (OH) (SIAC),7,0-2,88,29,178,0.331
28,Lewis (MIVA),11,1-2,134,43,267,0.341
29,Saint Francis (NEC),9,0-2,111,36,218,0.344
30,Lindenwood (MIVA),7,0-2,88,28,173,0.347
31,UC Irvine (Big West),7,2-0,104,30,208,0.356
32,UC San Diego (Big West),13,1-2,141,35,293,0.362
33,American Int'l (DI Independent),6,0-2,64,15,128,0.383
