Rank,Team,S,W-L,Kills,Errors,Total Attacks,Per Set
1,Ohio St. (MIVA),3,1-0,46,17,89,29.67
2,BYU (MPSF),8,2-0,111,39,218,27.25
3,George Mason (EIVA),3,0-1,29,15,79,26.33
4,Southern California (MPSF),5,1-0,51,21,131,26.20
5,UC Irvine (Big West),3,1-0,34,10,76,25.33
6,Princeton (EIVA),8,0-2,81,42,200,25.00
6,Lewis (MIVA),7,1-1,87,30,175,25.00
8,Stanford (MPSF),6,2-0,75,23,147,24.50
9,Urbana (DI Independent),4,0-1,38,19,96,24.00
10,Loyola Chicago (MVC),8,1-1,82,30,190,23.75
11,North Greenville (Conference Carolinas),7,1-1,79,26,165,23.57
12,King (TN) (Conference Carolinas),7,0-2,57,35,161,23.00
13,Pepperdine (MPSF),3,1-0,35,9,68,22.67
13,Charleston (WV) (EIVA),6,0-2,56,28,136,22.67
15,UCLA (MPSF),6,2-0,65,21,134,22.33
16,Daemen (DI Independent),3,0-1,18,23,62,20.67
16,Hawaii (Big West),6,2-0,69,22,124,20.67
